,name,rank,marketcap,country,share_price,change1d,change1y,categories
1551,"Sampoerna
",2079,$6.27 B,indonesia,$0.05000,0.00%,-16.67%,tobacco 
1552,"Boyd Gaming
",2077,$6.27 B,usa,$60.14,1.20%,-0.90%,None
1553,Tube Investments of India,2080,$6.26 B,india,$32.47,-0.73%,34.01%,None
1554,"Toll Brothers
",2078,$6.27 B,usa,$56.69,1.07%,-14.67%,None
1555,"Range Resources
",2073,$6.28 B,usa,$26.03,0.77%,19.46%,oil-gas energy 
1556,Banco BPM,2072,$6.29 B,italy,$4.17,0.66%,27.91%,banks financial-services 
1557,Konami Holdings,2074,$6.28 B,japan,$47.07,6.11%,0.75%,video-games entertainment tech 
1558,"Spark New Zealand
",2070,$6.29 B,new-zealand,$3.37,0.00%,10.36%,telecommunication 
1559,"PDC Energy
",2071,$6.29 B,usa,$68.28,2.55%,20.89%,None
1560,"Curtiss-Wright
",2064,$6.31 B,usa,$164.94,-0.49%,18.44%,None
1561,TPG Telecom,2063,$6.32 B,australia,$3.40,0.00%,-26.09%,telecommunication 
1562,Wynn Macau,2069,$6.30 B,None,$1.20,1.18%,27.66%,hotels travel 
1563,"Sekisui Chemical
",2066,$6.31 B,japan,$14.62,1.34%,-13.80%,chemicals 
1564,West Fraser Timber,2067,$6.30 B,canada,$74.98,2.63%,-22.92%,None
1565,Indian Railway Catering & Tourism,2068,$6.30 B,india,$7.88,-0.16%,-34.66%,railways 
1566,"Shriram Transport Finance
",2062,$6.32 B,india,$16.89,0.00%,1.38%,financial-services 
1567,"Corporate Office Properties Trust
",2060,$6.34 B,usa,$28.21,0.04%,1.00%,None
1568,"EnLink Midstream
",2059,$6.34 B,usa,$13.40,0.90%,72.24%,None
1569,Cosan,2054,$6.36 B,brazil,$13.63,1.26%,-11.49%,biofuel energy 
1570,"Covivio
",2061,$6.33 B,france,$67.50,0.24%,-21.92%,None
1571,Doximity,2065,$6.31 B,usa,$32.82,1.89%,-28.70%,internet tech healthcare telehealth 
1572,Yanbu National Petrochemical,2056,$6.35 B,saudi-arabia,$11.30,0.95%,-42.64%,chemicals 
1573,Hualan Biological Engineering,2057,$6.35 B,china,$3.48,0.43%,-28.69%,pharmaceuticals 
1574,Affiliated Managers Group,2058,$6.34 B,usa,$168.57,0.81%,7.71%,investment 
1575,"Bombardier Recreational Products
",2055,$6.35 B,canada,$80.76,0.85%,-0.54%,None
1576,"Hikari Tsushin
",2051,$6.37 B,japan,$143.84,3.22%,0.93%,None
1577,Fastighets AB Balder,2045,$6.39 B,sweden,$5.67,-1.09%,-90.91%,real-estate 
1578,iA Financial,2053,$6.36 B,canada,$60.49,-0.15%,-5.98%,financial-services insurance 
1579,GXO Logistics,2046,$6.39 B,usa,$53.90,2.60%,-40.96%,None
1580,"Macy's
",2050,$6.37 B,usa,$23.52,2.71%,-9.71%,retail 
1581,STAG Industrial,2044,$6.39 B,usa,$34.94,0.26%,-19.84%,None
1582,Nissan Chemical,2043,$6.40 B,japan,$45.68,2.08%,-16.85%,chemicals 
1583,Levi Strauss,2047,$6.39 B,usa,$16.10,-1.11%,-30.30%,None
1584,Stockland,2040,$6.42 B,australia,$2.69,-0.26%,-11.80%,reit real-estate investment 
1585,"Newell Brands
",2042,$6.40 B,usa,$15.50,-0.48%,-35.03%,consumer-goods 
1586,Bankinter,2048,$6.38 B,spain,$7.10,0.93%,20.34%,banks financial-services 
1587,Kingfisher,2041,$6.41 B,united-kingdom,$3.31,-0.65%,-27.41%,retail 
1588,Yamaha,2038,$6.44 B,japan,$37.55,2.54%,-20.23%,None
1589,Kobe Bussan,2039,$6.42 B,japan,$29.46,0.53%,-11.16%,food 
1590,"Turquoise Hill Resources
",2049,$6.38 B,canada,$31.41,0.00%,93.29%,None
1591,SSAB,2052,$6.37 B,sweden,$6.19,2.22%,8.22%,steel-producers steel-industry 
1592,Krafton,2031,$6.48 B,south-korea,$138.21,0.59%,-51.81%,video-games tech 
1593,Qualtrics,2029,$6.48 B,usa,$10.98,0.73%,-59.68%,software tech 
1594,Lithia Motors,2027,$6.49 B,usa,$237.62,1.91%,-22.59%,car-retail retail 
1595,ChampionX,2036,$6.46 B,usa,$32.43,0.84%,31.99%,oil-gas-equipment-services 
1596,"Alaska Airlines
",2034,$6.46 B,usa,$51.00,1.39%,-8.59%,airlines travel transportation 
1597,Commercial Metals Company,2032,$6.47 B,usa,$55.30,0.22%,45.83%,None
1598,Land Securities Group,2037,$6.46 B,united-kingdom,$8.72,1.11%,-21.58%,real-estate investment reit 
1599,Atacadão,2033,$6.47 B,brazil,$3.08,2.95%,17.56%,retail supermarkets 
1600,Woodward,2035,$6.46 B,usa,$108.24,0.35%,-8.02%,None
1601,AGNC Investment,2026,$6.50 B,usa,$11.38,1.47%,-25.70%,None
1602,Starwood Property Trust,2028,$6.49 B,usa,$20.34,0.63%,-19.81%,reit real-estate investment 
1603,Allegro MicroSystems,2030,$6.48 B,usa,$33.90,-0.03%,10.21%,semiconductors tech tech-hardware 
1604,TOTO,2017,$6.54 B,japan,$38.59,1.01%,-12.99%,None
1605,DraftKings,2021,$6.53 B,usa,$14.55,2.68%,-37.26%,gambling entertainment internet 
1606,"Dillard's
",2018,$6.53 B,usa,$381.83,1.09%,52.56%,retail 
1607,"New York Community Bank
",2015,$6.54 B,usa,$9.62,-0.16%,-27.49%,None
1608,"Israel Discount Bank
",2012,$6.56 B,israel,$52.30,0.00%,-16.98%,None
1609,"Osaka Gas
",2014,$6.55 B,japan,$15.76,1.14%,-7.84%,utility-companies 
1610,"Adaro Energy
",2019,$6.53 B,indonesia,$0.21,0.96%,31.25%,electricity energy coal-mining 
1611,Choice Hotels International,2013,$6.56 B,usa,$123.19,0.62%,-19.10%,hotels travel 
1612,Great Eastern,2010,$6.57 B,singapore,$13.88,0.16%,-8.56%,None
1613,Toromont,2011,$6.56 B,canada,$79.86,0.88%,-7.34%,None
1614,"Saia
",2020,$6.53 B,usa,$246.84,3.60%,-10.76%,transportation 
1615,Helvetia Holding,2024,$6.52 B,switzerland,$123.38,0.18%,-3.48%,insurance 
1616,Magnolia Oil & Gas,2016,$6.54 B,usa,$24.12,2.03%,8.50%,oil-gas energy 
1617,"Kinsale Capital Group
",2009,$6.57 B,usa,$284.83,-0.45%,38.29%,None
1618,OZ Minerals,2025,$6.50 B,australia,$19.43,0.29%,-5.17%,mining 
1619,Wyndham Hotels & Resorts,2022,$6.52 B,usa,$73.89,0.96%,-13.87%,hotels travel 
1620,Petro Rio,2023,$6.52 B,brazil,$7.69,1.14%,86.65%,oil-gas energy 
1621,ASUS,2008,$6.57 B,taiwan,$8.85,-0.37%,-35.54%,tech tech-hardware electronics 
1622,Lodha Group,2007,$6.58 B,india,$13.62,1.90%,-18.49%,real-estate 
1623,AirTAC International,2005,$6.59 B,taiwan,$32.99,1.83%,-4.07%,manufacturing 
1624,"CTS Eventim
",2006,$6.58 B,germany,$68.58,1.61%,-12.95%,None
1625,"Ritchie Bros. Auctioneers
",2004,$6.60 B,canada,$59.54,-0.48%,-3.74%,None
1626,"NextEra Energy Partners
",2002,$6.61 B,usa,$76.41,0.28%,0.21%,None
1627,Sanlam,1899,$7.09 B,south-africa,$3.21,0.95%,-13.94%,insurance 
1628,"Bancolombia
",1897,$7.10 B,None,$29.55,1.41%,-11.13%,banks financial-services 
1629,"Harley-Davidson
",2003,$6.60 B,usa,$45.18,0.51%,18.33%,None
1630,Q Holding,1894,$7.11 B,united-arab-emirates,$1.04,-0.26%,-14.75%,investment 
1631,"Hankyu Hanshin Holdings
",1900,$7.08 B,japan,$29.42,2.29%,3.16%,railways transportation 
1632,Zoomlion,1893,$7.11 B,china,$0.56,-2.90%,-20.00%,machinery-manufacturing manufacturing 
1633,"ShockWave Medical
",1895,$7.11 B,usa,$196.75,2.21%,17.83%,medical-devices 
1634,"Western Alliance Bancorporation
",1890,$7.12 B,usa,$65.38,1.24%,-46.56%,banks financial-services 
1635,Santander Polska,1892,$7.11 B,poland,$67.66,-2.96%,-28.47%,banks financial-services 
1636,Kongsberg Gruppen,1898,$7.10 B,norway,$40.23,1.43%,21.21%,defense-contractors aerospace 
1637,"Arrow Electronics
",1896,$7.10 B,usa,$115.59,1.44%,-14.35%,None
1638,Elm Company,1888,$7.12 B,saudi-arabia,$89.03,-0.24%,None,investment 
1639,"Hanwha Solutions
",1889,$7.12 B,south-korea,$37.22,-1.07%,16.31%,renewable-energy energy electricity 
1640,Emcor,1891,$7.12 B,usa,$149.41,0.68%,19.86%,None
1641,"Treasury Wine Estates
",1887,$7.12 B,australia,$9.87,-0.77%,16.94%,beverages alcoholic-beverages 
1642,"Empire Company
",1885,$7.14 B,canada,$27.63,0.33%,-8.42%,None
1643,"Far EasTone
",1878,$7.17 B,taiwan,$2.20,0.15%,-5.58%,telecommunication 
1644,Yang Ming,1882,$7.15 B,taiwan,$2.05,1.47%,-46.48%,transportation maritime-transportation container-shipping 
1645,"Skechers
",1886,$7.13 B,usa,$45.99,-0.50%,5.41%,footwear 
1646,"Ternium
",1884,$7.14 B,None,$36.38,1.14%,-21.86%,steel-industry manufacturing 
1647,"Restoration Hardware
",1880,$7.17 B,usa,$310.98,0.56%,-30.50%,retail furniture 
1648,Washington H. Soul Pattinson and Company (WHSP),1877,$7.17 B,australia,$19.89,-0.38%,-7.75%,investment mining coal-mining 
1649,Amorepacific,1872,$7.19 B,south-korea,$115.98,-0.69%,-7.76%,cosmetics 
1650,DaVita,1876,$7.18 B,usa,$79.71,0.81%,-31.47%,healthcare 
1651,Meiji Holdings,1883,$7.14 B,japan,$50.94,0.15%,-17.76%,dairy food beverages 
1652,Makita,1881,$7.15 B,japan,$26.36,1.64%,-37.67%,tool-manufacturers manufacturing 
1653,Roku,1879,$7.17 B,usa,$51.51,0.94%,-69.24%,electronics tech tech-hardware 
1654,"Valmont Industries
",1874,$7.18 B,usa,$337.01,0.91%,40.18%,manufacturing 
1655,GitLab,1875,$7.18 B,usa,$48.00,2.30%,-25.07%,software tech 
1656,Skanska,1873,$7.18 B,sweden,$17.92,1.03%,-31.91%,construction 
1657,Globant,1861,$7.24 B,None,$173.54,0.68%,-31.06%,software tech 
1658,Clarivate,1868,$7.20 B,united-kingdom,$10.68,0.71%,-40.64%,tech software 
1659,"Yes Bank
",1869,$7.20 B,india,$0.25,1.24%,31.58%,banks financial-services 
1660,"Indian Overseas Bank
",1866,$7.21 B,india,$0.38,-1.43%,35.71%,banks financial-services 
1661,"Mohawk Industries
",1867,$7.20 B,usa,$113.41,2.01%,-33.59%,None
1662,"DWS Group
",1863,$7.22 B,germany,$36.12,0.67%,-18.67%,None
1663,KT Corporation,1862,$7.24 B,south-korea,$14.16,0.75%,6.91%,telecommunication 
1664,Bâloise,1870,$7.20 B,switzerland,$159.40,-1.47%,-9.35%,insurance 
1665,Autoliv,1865,$7.21 B,sweden,$83.12,2.45%,-23.05%,automotive-suppliers 
1666,ICICI Lombard,1859,$7.25 B,india,$14.77,-3.93%,-23.31%,insurance 
1667,"Idemitsu Kosan
",1857,$7.26 B,japan,$24.42,1.61%,-11.39%,oil-gas energy 
1668,Medpace,1860,$7.25 B,usa,$233.30,2.05%,32.14%,None
1669,Ooredoo,1864,$7.22 B,united-arab-emirates,$2.25,0.00%,30.81%,telecommunication 
1670,China Development Financial,1858,$7.25 B,taiwan,$0.43,0.38%,-37.68%,banks financial-services 
1671,JFE Holdings,1871,$7.19 B,japan,$12.50,0.94%,-15.02%,steel-producers steel-industry 
1672,"Indorama Ventures
",1856,$7.26 B,thailand,$1.27,1.74%,-11.19%,None
1673,"IDBI Bank
",1854,$7.27 B,india,$0.68,0.00%,-2.86%,banks financial-services 
1674,ITT,1853,$7.28 B,usa,$88.05,1.49%,-11.55%,None
1675,Nestle Malaysia,1846,$7.31 B,malaysia,$31.20,-0.15%,-2.44%,food 
1676,Matador Resources,1851,$7.28 B,usa,$61.68,2.85%,36.10%,energy oil-gas 
1677,Erdemir,1845,$7.31 B,turkey,$2.16,-0.93%,-4.85%,steel-producers steel-industry 
1678,New World Development Company,1849,$7.29 B,hong-kong,$2.90,-1.31%,-26.21%,real-estate 
1679,Saudi International Petrochemical Company (Sipchem),1848,$7.30 B,saudi-arabia,$9.96,3.60%,-17.34%,chemicals 
1680,Globus Medical,1850,$7.29 B,usa,$73.09,0.25%,-0.49%,None
1681,Dolby,1855,$7.27 B,usa,$76.11,0.69%,-17.23%,None
1682,Generac Power Systems,1842,$7.33 B,usa,$115.80,1.14%,-62.19%,manufacturing 
1683,Tele2,1852,$7.28 B,sweden,$11.00,0.00%,-25.07%,telecommunication 
1684,IGM Financial,1844,$7.33 B,canada,$30.86,0.51%,-19.28%,asset-management financial-services 
1685,"Old Republic International
",1843,$7.33 B,usa,$24.10,-0.14%,-7.54%,None
1686,"Daito Trust Construction
",1841,$7.34 B,japan,$107.76,0.43%,-8.35%,construction real-estate 
1687,ZOZO,1847,$7.31 B,japan,$24.39,2.77%,-11.34%,e-commerce internet tech 
1688,Chemed,1840,$7.35 B,usa,$494.93,-0.22%,1.94%,healthcare 
1689,Singapore Exchange,1827,$7.44 B,singapore,$6.96,1.10%,-2.52%,stock-exchanges financial-services exchanges 
1690,"Berry Global
",1828,$7.44 B,usa,$61.10,0.33%,-15.78%,None
1691,"Inspire Medical Systems
",1833,$7.41 B,usa,$256.51,0.34%,7.98%,None
1692,Sabesp,1832,$7.41 B,brazil,$10.86,-0.05%,70.14%,None
1693,UnipolSai,1838,$7.37 B,italy,$2.61,0.50%,-10.00%,financial-services 
1694,OCI,1836,$7.38 B,netherlands,$35.17,-0.43%,24.28%,chemicals fertilizer 
1695,"NRG Energy
",1830,$7.44 B,usa,$32.30,0.47%,-21.01%,None
1696,"United Spirits
",1834,$7.40 B,india,$10.44,-0.16%,-17.86%,beverages alcoholic-beverages 
1697,"Planet Fitness
",1829,$7.44 B,usa,$83.09,0.63%,-4.25%,sports 
1698,AptarGroup,1825,$7.46 B,usa,$114.40,0.30%,-5.59%,None
1699,Orkla,1835,$7.38 B,norway,$7.41,0.00%,-24.77%,consumer-goods 
1700,Whitbread,1831,$7.42 B,united-kingdom,$36.75,-0.66%,-14.71%,hotels travel 
1701,"Merdeka Copper Gold
",1826,$7.46 B,indonesia,$0.31,-2.89%,10.71%,mining 
1702,Etihad Etisalat (Mobily),1839,$7.36 B,saudi-arabia,$9.56,1.56%,12.74%,telecommunication 
1703,Cemex,1837,$7.37 B,mexico,$5.03,0.88%,-26.19%,cement building-materials 
1704,Banco Santander-Chile,1815,$7.51 B,chile,$15.95,1.46%,-15.65%,banks financial-services 
1705,"Jindal Steel & Power
",1809,$7.54 B,india,$7.40,2.59%,31.44%,steel-producers steel-industry 
1706,"Zions Bancorporation
",1817,$7.50 B,usa,$50.14,-1.42%,-29.03%,None
1707,"Aisin Seiki
",1812,$7.53 B,japan,$27.95,0.84%,-34.13%,automotive-suppliers 
1708,"CPFL Energia
",1823,$7.48 B,brazil,$6.49,1.19%,38.09%,electricity utility-companies energy 
1709,MasTec,1813,$7.52 B,usa,$96.22,1.18%,-0.23%,engineering 
1710,Pandora,1819,$7.49 B,denmark,$83.84,-0.03%,-29.28%,luxury-goods 
1711,Procore,1818,$7.49 B,usa,$54.32,1.67%,-20.09%,tech software construction 
1712,Donaldson,1820,$7.49 B,usa,$61.57,0.70%,3.86%,None
1713,Concentrix,1821,$7.49 B,usa,$145.00,1.38%,-12.99%,it-services professional-services 
1714,Shanghai Commercial and Savings Bank,1811,$7.54 B,taiwan,$1.56,0.64%,-11.36%,banks financial-services 
1715,"RTL Group
",1816,$7.50 B,None,$48.48,0.18%,-14.54%,None
1716,Arabian Internet and Communications Services,1810,$7.54 B,saudi-arabia,$63.51,-1.32%,11.85%,it-services 
1717,Melrose Industries,1824,$7.47 B,united-kingdom,$1.84,0.40%,-20.69%,manufacturing investment 
1718,Alfamart,1822,$7.48 B,indonesia,$0.18,0.37%,125.00%,retail 
1719,"Nippon Building Fund
",1814,$7.51 B,japan,"$4,420",2.33%,-24.13%,real-estate investment 
1720,"Genscript Biotech
",1807,$7.55 B,china,$3.57,3.33%,-9.85%,genomics biotech 
1721,BKW AG ,1796,$7.64 B,switzerland,$144.84,0.30%,16.81%,energy electricity utility-companies 
1722,Orion Corporation,1802,$7.60 B,finland,$54.14,0.30%,32.73%,pharmaceuticals biotech 
1723,"Chubu Electric Power
",1808,$7.55 B,japan,$9.99,0.94%,-6.81%,electricity utility-companies energy 
1724,MISC Berhad,1797,$7.63 B,malaysia,$1.71,1.37%,3.01%,transportation maritime-transportation 
1725,"Amkor Technology
",1806,$7.57 B,usa,$30.94,0.95%,23.81%,None
1726,"Rohm
",1798,$7.62 B,japan,$77.73,2.03%,-18.79%,semiconductors tech 
1727,Woori Financial Group,1794,$7.64 B,south-korea,$31.52,0.25%,-17.14%,banks financial-services 
1728,"ABB India
",1800,$7.61 B,india,$35.94,1.58%,15.19%,engineering 
1729,"Wacker Chemie
",1799,$7.62 B,germany,$153.46,1.07%,-10.19%,chemicals 
1730,Iridium Communications,1792,$7.65 B,usa,$60.93,0.51%,62.74%,telecommunication 
1731,Kingdom Holding,1803,$7.60 B,saudi-arabia,$2.05,-0.26%,-25.72%,investment 
1732,Tokyu,1793,$7.65 B,japan,$12.70,1.99%,-3.35%,railways transportation 
1733,Symbotic,1804,$7.59 B,usa,$13.65,0.29%,37.46%,robotics tech 
1734,"Elbit Systems
",1795,$7.64 B,israel,$172.37,-1.16%,-3.25%,None
1735,Arkema,1805,$7.59 B,france,$101.46,0.54%,-34.11%,chemicals 
1736,Sinopharm,1787,$7.68 B,china,$2.46,-0.62%,4.24%,pharmaceuticals 
1737,Aselsan,1782,$7.72 B,turkey,$3.39,7.98%,88.33%,defense-contractors 
1738,"New Fortress Energy
",1791,$7.67 B,usa,$36.74,-1.21%,52.51%,None
1739,"Canadian Utilities
",1790,$7.67 B,canada,$28.44,-0.05%,0.39%,None
1740,Hess Midstream,1789,$7.67 B,usa,$32.00,1.20%,5.89%,oil-gas energy 
1741,Olin,1780,$7.73 B,usa,$56.46,1.90%,1.79%,None
1742,"WH Group
",1778,$7.73 B,hong-kong,$0.60,-0.42%,-3.23%,food 
1743,"Apollo Hospitals
",1788,$7.67 B,india,$53.41,0.39%,-19.12%,healthcare medical-care-facilities 
1744,DiaSorin,1776,$7.74 B,italy,$141.35,-0.19%,-16.44%,None
1745,Ciena,1779,$7.73 B,usa,$52.12,1.97%,-27.02%,telecommunication telecommunications-equipment 
1746,Monotaro,1783,$7.70 B,japan,$15.51,3.51%,-12.37%,e-commerce internet tech 
1747,"Acadia Healthcare
",1777,$7.73 B,usa,$85.07,0.65%,47.61%,None
1748,"Mitsubishi Chemical Holdings
",1784,$7.70 B,japan,$5.42,1.32%,-31.65%,chemicals 
1749,"Punjab National Bank
",1785,$7.69 B,india,$0.70,-1.73%,29.63%,banks financial-services 
1750,Phoenix Group,1786,$7.68 B,united-kingdom,$7.68,-0.25%,-18.12%,insurance 
1751,Bajaj Holdings & Investment,1781,$7.72 B,india,$69.44,-0.91%,-6.02%,investment 
1752,Grifols,1763,$7.81 B,spain,$9.30,2.48%,-26.33%,None
1753,Fosun,1767,$7.78 B,china,$0.95,0.82%,-13.64%,conglomerate 
1754,Ocado,1771,$7.77 B,united-kingdom,$9.41,5.08%,-52.81%,retail e-commerce internet tech food 
1755,Edison,1775,$7.74 B,italy,$1.62,0.34%,-9.50%,oil-gas energy utility-companies 
1756,"Manhattan Associates
",1772,$7.76 B,usa,$124.40,0.95%,-8.67%,None
1757,Shoprite,1765,$7.80 B,south-africa,$14.38,0.99%,16.16%,retail supermarkets 
1758,WEX,1764,$7.80 B,usa,$179.02,1.13%,13.87%,financial-services 
1759,"Rational AG
",1773,$7.75 B,germany,$682.02,0.56%,-25.04%,home-and-kitchen-appliances 
1760,"Dish Network
",1766,$7.79 B,usa,$14.68,1.28%,-59.42%,telecommunication 
1761,AGC,1768,$7.78 B,japan,$35.15,1.45%,-23.62%,None
1762,NCsoft,1769,$7.78 B,south-korea,$383.11,1.72%,-22.53%,video-games tech entertainment 
1763,Auckland Airport,1761,$7.82 B,new-zealand,$5.32,0.39%,1.33%,airports infrastructure 
1764,GoTo,1774,$7.74 B,indonesia,$0.01000,0.00%,None,internet tech e-commerce financial-services 
1765,Sinopac Financial Holdings,1760,$7.84 B,taiwan,$0.59,2.01%,-3.28%,financial-services banks 
1766,Rakuten,1770,$7.77 B,japan,$4.89,1.12%,-47.87%,e-commerce internet tech 
1767,S-OIL,1762,$7.82 B,south-korea,$68.06,-0.82%,-13.54%,oil-gas energy 
1768,"Japan Exchange Group
",1755,$7.87 B,japan,$14.92,2.23%,-30.73%,stock-exchanges financial-services exchanges 
1769,PetGas (Petronas Gas),1759,$7.85 B,malaysia,$3.97,-1.04%,0.00%,oil-gas energy utility-companies infrastructure 
1770,"Sealed Air
",1754,$7.88 B,usa,$54.48,0.98%,-19.53%,None
1771,Xero,1757,$7.86 B,new-zealand,$51.86,2.49%,-39.92%,tech software 
1772,Megacable Holdings,1752,$7.89 B,mexico,$3.08,0.45%,-9.94%,telecommunication 
1773,RaiaDrogasil,1758,$7.85 B,brazil,$4.77,1.33%,28.57%,None
1774,"Nissin Foods
",1753,$7.88 B,japan,$77.80,0.30%,9.79%,food 
1775,GAIL,1756,$7.86 B,india,$1.20,-0.21%,-38.46%,oil-gas utility-companies energy 
1776,"OGE Energy
",1751,$7.91 B,usa,$39.52,-0.06%,3.99%,None
1777,"Fortune Brands Home & Security
",1747,$7.92 B,usa,$61.90,-2.09%,-39.00%,None
1778,"Tetra Tech
",1737,$8.05 B,usa,$151.99,0.74%,2.82%,professional-services engineering 
1779,Ralph Lauren,1741,$7.98 B,usa,$121.02,1.47%,5.38%,None
1780,SRF Limited,1750,$7.91 B,india,$26.70,-0.87%,-24.79%,None
1781,CCL Industries,1743,$7.96 B,canada,$44.95,0.47%,-16.39%,packaging 
1782,Allegro.eu,1746,$7.92 B,poland,$7.50,3.05%,-29.51%,e-commerce tech internet 
1783,Healthcare Realty,1739,$8.01 B,usa,$21.05,0.14%,-33.09%,healthcare reit real-estate investment medical-care-facilities 
1784,Americana Restaurants International,1744,$7.95 B,united-arab-emirates,$0.94,0.58%,None,restaurant-chains food 
1785,"Signature Bank
",1748,$7.91 B,usa,$125.83,3.84%,-65.56%,None
1786,"Pershing Square Holdings
",1742,$7.97 B,usa,$37.00,0.31%,-3.14%,None
1787,SKF (Svenska Kullagerfabriken),1745,$7.95 B,sweden,$17.86,2.23%,-30.07%,None
1788,"China Gas
",1736,$8.05 B,china,$1.48,-0.86%,-23.71%,oil-gas energy 
1789,Robinhood,1738,$8.03 B,usa,$9.61,0.95%,-36.65%,financial-services internet tech 
1790,"GEA Group
",1749,$7.91 B,germany,$44.68,0.59%,-10.28%,None
1791,"Dentsply Sirona
",1740,$7.98 B,usa,$37.16,0.92%,-31.11%,None
1792,Crocs,1735,$8.05 B,usa,$130.44,1.87%,6.45%,footwear manufacturing 
1793,"ST Engineering
",1729,$8.11 B,singapore,$2.61,0.00%,-4.04%,None
1794,XPeng,1727,$8.13 B,china,$9.50,1.47%,-80.89%,automakers electric-vehicles manufacturing autonomous-driving 
1795,Middleby,1732,$8.08 B,usa,$149.99,0.68%,-23.97%,None
1796,Unum,1730,$8.09 B,usa,$40.71,-1.00%,44.88%,insurance 
1797,Coty,1728,$8.12 B,usa,$9.56,0.41%,7.04%,flavors-and-fragrances cosmetics luxury-goods consumer-goods 
1798,"Hamamatsu
",1734,$8.05 B,japan,$52.02,0.45%,-4.41%,None
1799,Indofood CBP,1733,$8.06 B,indonesia,$0.69,1.21%,13.11%,food 
1800,"Française des Jeux
",1711,$8.24 B,france,$43.23,0.53%,2.66%,gambling entertainment 
1801,Webster Financial,1724,$8.15 B,usa,$46.86,-1.72%,-26.98%,banks financial-services 
1802,Yamaha Motor,1715,$8.22 B,japan,$24.31,2.95%,-3.91%,motorcycle-manufacturers manufacturing 
1803,"Tata Power
",1722,$8.16 B,india,$2.55,-0.10%,-23.42%,electricity utility-companies energy 
1804,"Grupo ACS
",1721,$8.16 B,spain,$30.96,0.28%,12.70%,engineering construction 
1805,Wharf Holdings,1723,$8.15 B,hong-kong,$2.67,-0.48%,-15.51%,real-estate 
1806,Agilon Health,1718,$8.21 B,usa,$19.96,0.99%,1.76%,healthcare 
1807,Dino Polska,1713,$8.23 B,poland,$83.98,0.11%,-3.73%,retail supermarkets 
1808,"Royal Gold
",1719,$8.17 B,usa,$124.48,0.50%,25.06%,mining gold-mining silver-mining 
1809,"Lear Corporation
",1714,$8.22 B,usa,$139.21,1.74%,-27.13%,None
1810,Accor,1716,$8.22 B,france,$31.26,2.68%,-14.92%,hotels travel 
1811,"Medical Properties Trust
",1720,$8.16 B,usa,$13.66,0.48%,-43.41%,real-estate 
1812,Banque Cantonale Vaudoise,1725,$8.14 B,switzerland,$94.86,-0.79%,13.99%,banks financial-services 
1813,Organon,1717,$8.22 B,usa,$32.32,0.75%,-1.64%,pharmaceuticals biotech 
1814,Capri Holdings,1712,$8.23 B,united-kingdom,$63.97,0.96%,10.16%,clothing 
1815,"Ally
",1726,$8.13 B,usa,$27.26,0.80%,-48.22%,banks financial-services 
1816,Korea Zinc,1710,$8.25 B,south-korea,$442.12,-0.55%,-4.08%,None
1817,Hasbro,1599,$9.01 B,usa,$65.29,-0.20%,-34.79%,None
1818,Doosan Enerbility,1709,$8.25 B,south-korea,$12.93,-1.84%,-22.34%,energy 
1819,SK Telecom,1704,$8.29 B,south-korea,$21.12,0.76%,-20.66%,telecommunication 
1820,Penumbra,1600,$9.00 B,usa,$237.20,1.75%,-0.16%,medical-devices 
1821,"Grupo Aeroportuario del Sureste
",1708,$8.26 B,mexico,$275.60,0.96%,27.75%,airports infrastructure 
1822,"Antero Resources
",1595,$9.04 B,usa,$30.12,0.03%,50.37%,oil-gas oil-gas-equipment-services 
1823,Telefónica Deutschland (O2),1706,$8.29 B,germany,$2.79,-0.93%,-3.46%,telecommunication 
1824,US Foods,1702,$8.30 B,usa,$36.92,-0.01%,-0.09%,food 
1825,Switch,1707,$8.27 B,usa,$34.25,0.06%,32.96%,None
1826,"Pure Storage
",1703,$8.29 B,usa,$27.43,1.07%,-0.58%,tech 
1827,"Mondi
",1598,$9.01 B,united-kingdom,$18.36,0.20%,-28.70%,pulp-and-paper manufacturing 
1828,"Vipshop
",1593,$9.06 B,china,$14.86,-0.27%,59.96%,e-commerce tech internet retail 
1829,Mowi,1597,$9.01 B,norway,$16.85,0.00%,-30.02%,food 
1830,Adani Wilmar,1594,$9.05 B,india,$6.97,-1.09%,None,food 
