,name,industry,sector,headquarters,founded,notes
1147,mannesmann,industrials,diversified industrials,düsseldorf,1890,"now part of vodafone, thyssenkrupp, siemens, salzgitter ag"
1148,mast-jägermeister,consumer goods,distillers & vintners,wolfenbüttel,1878,alcohol
1149,meindl,consumer goods,clothing & accessories,kirchanschöring,1683,shoes manufacturer
1150,meinl percussion,consumer goods,recreational products,gutenstetten,1951,musical instruments
1151,meinl-weston,consumer goods,recreational products,geretsried,1810,musical instruments
1152,meissen porcelain,consumer goods,durable household products,meissen,1708,porcelain
1153,melitta,consumer goods,beverages,minden,1908,coffee
1154,mennekes,industrials,electrical components & equipment,kirchhundem,1935,industrial plugs and connectors
1155,mercedes-amg,consumer goods,automobiles,affalterbach,1967,"automobile and engine manufacturing, part of daimler ag"
1156,mercedes-benz,consumer goods,automobiles,stuttgart,1883,"automotive, part of daimler ag"
1157,merck,health care,pharmaceuticals,darmstadt,1668,pharmaceuticals
1158,messerschmitt,industrials,aerospace,augsburg,1938,"aircraft manufacturer, defunct 1968"
1159,metro ag,consumer services,broadline retailers,düsseldorf,1964,diversified retailer
1160,metz,consumer goods,consumer electronics,zirndorf,1938,"electronics manufacturer, defunct 2014"
1161,meyer werft,industrials,commercial vehicles & trucks,papenburg,1795,shipbuilding
1162,miele,consumer goods,consumer electronics,gütersloh,1899,domestic appliances
1163,montblanc,consumer goods,nondurable household products,hamburg,1906,luxury goods
1164,munich re,financials,reinsurance,munich,1880,reinsurance
1165,müller,consumer goods,food products,fischach,1896,dairy
1166,nemetschek,technology,software,munich,1963,software
1167,nero ag,technology,software,karlsruhe,1995,software
1168,netto marken-discount,consumer services,food retailers & wholesalers,maxhütte-haidhof,1984,"supermarkets, part of edeka"
1169,nordzucker,consumer goods,food products,braunschweig,1997,sugar
1170,nsu motorenwerke,consumer goods,automobiles,neckarsulm,1873,"now part of audi, defunct"
1171,opel,consumer goods,automobiles,rüsselsheim am main,1862,"automotive, part of groupe psa (france)"
1172,orenstein & koppel,industrials,industrial vehicles & trucks,berlin,1876,defunct 1999
1173,osram,industrials,building materials & fixtures,munich,1919,lighting
1174,otto gmbh,consumer services,broadline retailers,hamburg,1949,mail order company
1175,otto bock,health care,medical equipment,duderstadt,1919,"wheel chairs, prosthetics"
1176,paulaner brewery,consumer goods,brewers,munich,1634,"brewery, part of brau holding international"
1177,pcc se,basic materials,speciality chemicals,duisburg,1993,"chemicals, energy, logistics"
1178,penny,consumer services,food retailers & wholesalers,cologne,1973,"supermarkets, part of rewe group"
1179,philipp holzmann,industrials,heavy construction,frankfurt,1849,defunct 2002
1180,phoenix contact,industrials,industrial machinery,blomberg,1923,automation
1181,plus,consumer services,food retailers & wholesalers,mülheim,1972,"part of edeka, defunct 2009"
1182,porsche,consumer goods,automobiles,stuttgart,1931,"high performance vehicles, part of volkswagen group"
1183,prosiebensat.1,consumer services,broadcasting & entertainment,unterföhring,2000,mass media
1184,ptv ag,technology,software,karlsruhe,1979,software design and consulting
1185,puma,consumer goods,clothing & accessories,herzogenaurach,1948,shoes & sports apparel & accessories manufacturer
1186,putzmeister,industrials,industrial machinery,aichtal,1958,concrete pumps
1187,radeberger brewery,consumer goods,brewers,radeberg,1872,"brewery, part of dr. oetker"
1188,recaro,industrials,industrial suppliers,stuttgart,1906,vehicle seating
1189,reemtsma,consumer goods,tobacco,hamburg,1910,tobacco and cigarette
1190,rehau group,industrials,industrial suppliers,rehau,1948,polymer-based products supplier
1191,rewe group,consumer services,food retailers & wholesalers,cologne,1927,"supermarkets, retail"
1192,rheinmetall,industrials,defense,düsseldorf,1889,defense and automotive
1193,rheinmetall automotive,industrials,industrial suppliers,neckarsulm,1997,"automotive parts, part of rheinmetall"
1194,rimowa,consumer goods,luggage,cologne,1898,"luggage and travel accessories, acquired by lvmh in 2016"
1195,ritter sport,consumer goods,food products,waldenbuch,1912,chocolates
1196,robert bosch gmbh,conglomerate,-,waldenbuch,1886,"automotive parts, home appliances, engineering, computing"
1197,rohde & schwarz,industrials,electronic equipment,munich,1933,electronics
1198,rose bikes,consumer goods,recreational products,bocholt,1907,bicycles
1199,rossmann,consumer services,drug retailers,burgwedel,1972,pharmacies
1200,rri rhein ruhr international,industrials,industrial machinery,essen,1942,engineering
1201,ruf automobile,consumer goods,automobiles,pfaffenhausen,1939,automotive
1202,rwe,utilities,electricity,essen,1898,electric generation and distribution
1203,saba,consumer goods,consumer electronics,triberg im schwarzwald,1923,"radios, defunct 1980"
1204,salzgitter ag,basic materials,iron & steel,salzgitter,1937,steel producer
1205,sap se,technology,software,walldorf,1972,enterprise software
1206,ströer,mass media,billboard,cologne,1990,online advertising
1207,sauer flugmotorenbau,industrials,aerospace,ober-olm,?,aviation engines
1208,schaeffler group,industrials,industrial suppliers,herzogenaurach,1883,automotive parts
1209,schaller guitarenparts,consumer goods,recreational products,postbauer-heng,1945,musical instruments
1210,schering,health care,pharmaceuticals,berlin,1851,"defunct 2006, now part of bayer"
1211,schmitz cargobull,industrials,commercial vehicles & trucks,horstmar,1892,trailers and truck bodies
1212,schott ag,basic materials,speciality chemicals,mainz,1884,"industrial glass, part of carl-zeiss-stiftung"
1213,schwan-stabilo,consumer goods,nondurable household products,heroldsberg,1855,writing instruments
1214,schwarz gruppe,consumer services,food retailers & wholesalers,neckarsulm,1973,supermarket holding company
1215,schwind eye-tech-solutions,health care,medical equipment,kleinostheim,1958,medical technology
1216,sebamed,consumer goods,personal products,boppard,1957,skin care products
1217,seca,health care,medical equipment,hamburg,1840,medical scales and measuring instruments
1218,sennheiser,consumer goods,consumer electronics,wedemark,1945,audio electronics
1219,severin elektro,consumer goods,consumer electronics,sundern,1892,household appliances
1220,sew eurodrive,industrials,general industrials,bruchsal,1931,electric motors
1221,sgl carbon,basic materials,chemicals,wiesbaden,1992,chemicals
1222,siemens,conglomerates,-,berlin,1847,"industrials, energy, health care"
1223,sig sauer,industrials,defense,eckernförde,1976,firearms
1224,simscale,technology,software,munich[4],2012,engineering simulation software
1225,skysails,industrials,industrial machinery,hamburg,2001,marine propulsion by wind energy
1226,smart,consumer goods,automobiles,böblingen,1994,"automotive, part of daimler ag"
1227,software ag,technology,software,darmstadt,1969,enterprise software
1228,solarworld,industrials,industrial machinery,bonn,1988,photovoltaics
1229,sonor,consumer goods,recreational products,berlin,1875,musical instruments
1230,sortimo,industrials,industrial suppliers,zusmarshausen,1973,in-vehicle equipment
1231,staedtler,consumer goods,nondurable household products,nuremberg,1835,writing instruments
1232,steinway & sons,consumer goods,recreational products,hamburg,1853,musical instruments
1233,stihl,basic materials,forestry,waiblingen,1926,"forestry equipment, garden tools"
1234,südzucker,consumer goods,food products,mannheim,1926,sugar
1235,symrise,personal products,"flavours, gustatory and cosmetic substances",holzminden,2003,"flavours, gustatory and cosmetic substances"
1236,talanx,financials,full line insurance,hanover,1996,commercial insurance
1237,tchibo,consumer services,broadline retailers,hamburg,1949,"consumer goods, retail"
1238,telefunken,consumer goods,consumer electronics,berlin,1903,defunct 1967
1239,tengelmann group,consumer services,broadline retailers,mülheim,1867,retail holding company
1240,tente international,industrials,general industrials,cologne,1923,wheels and castors
1241,tetra,consumer services,specialty retailers,melle,1951,fishkeeping supplies
1242,the linde group,basic materials,speciality chemicals,munich,1879,industrial gas production and plant engineering
1243,thyssenkrupp,conglomerates,-,duisburg,1999,"steel, engineering, shipyards"
1244,trivago,technology,internet,düsseldorf,2005,"hotel and travel search, part of expedia, inc. (us)"
1245,trumpf,industrials,industrial machinery,ditzingen,1923,machine tools
1246,t-systems,technology,software,frankfurt,2000,part of deutsche telekom
1247,tui group,consumer services,travel & leisure,hanover,1923,"hospitality, tourism"
1248,uhlsport,consumer goods,clothing & accessories,balingen,1948,shoes & sports apparel & accessories manufacturer
1249,ulla popken,consumer goods,clothing & accessories,rastede,1880,clothing
1250,ultrasone,consumer goods,consumer electronics,tutzing,1991,audio electronics
1251,underberg,consumer goods,brewers,rheinberg,1846,bitters
1252,united internet,telecommunications,fixed line telecommunications,montabaur,1988,isp
1253,vaude,consumer goods,recreational products,tettnang,1974,"clothing, mountain sports equipment"
1254,vector informatik,technology,software,stuttgart,1988,software
1255,veltins,consumer goods,brewers,meschede,1824,brewery
1256,vereinigte flugtechnische werke,industrials,aerospace,bremen,1964,defunct 1981
1257,viessmann,industrials,general industrials,allendorf (eder),1917,heating systems
1258,villeroy & boch,consumer goods,durable household products,mettlach,1748,ceramics
1259,voith,industrials,industrial engineering,heidenheim an der brenz,1867,mechanical engineering
1260,volkswagen group,consumer goods,automobiles,wolfsburg,1937,automotive
1261,volkswagen,consumer goods,automobiles,wolfsburg,1937,part of volkswagen group
1262,vonovia,financials,real estate,bochum,2001,real estate
1263,vossloh,industrials,industrial transportation,werdohl,1888,railway systems engineering
1264,wacker chemie,basic materials,chemicals,munich,1914,chemicals
1265,wacker neuson,industrials,construction & materials,munich,1848,construction equipment
1266,wago kontakttechnik,industrials,electrical components & equipment,minden,1951,electrical components
1267,warsteiner,consumer goods,brewers,warstein,1753,brewery
1268,wella,consumer goods,personal products,darmstadt,1880,hair care and cosmetics
1269,wera werk hermann werner,consumer goods,durable household products,wuppertal,1936,tools
1270,weser flugzeugbau,industrials,aerospace,bremen,1934,defunct 1964
1271,wilkhahn,consumer goods,furnishings,bad münder,1907,office furniture
1272,wintershall,oil & gas,exploration & production,kassel,1894,part of basf
1273,wirecard,financials,financial services,aschheim,1999,payment solutions
1274,wittenstein,industrials,industrial engineering,igersheim,1949,mechanical engineering
1275,wolff & müller,industrials,heavy construction,stuttgart,1936,construction
1276,wortmann,technology,computer hardware,hüllhorst,1986,computer manufacturer
1277,würth,industrials,general industrials,künzelsau,1945,fasteners
1278,wüsthof,consumer goods,durable household products,solingen,1814,kitchen knives
1279,zf friedrichshafen,industrials,industrial suppliers,friedrichshafen,1915,automotive parts
1280,ziehl-abegg se,industrials,electrical components & equipment,künzelsau,1910,electrical components
1281,4e tv,consumer services,media,thessaloniki,1994,broadcasting & religion
