name,headquarters,number_of_employees,address,industry,website,market_cap,telephone,revenue
Ceva Sante Animale SA,France,"6,300","10 Avenue de la Ballastiere, Libourne, 33500",Pharmaceuticals and Healthcare,www.ceva.com,,33 5 57554040,$1.7B
Veoneer Inc,Sweden,"7,099","Klarabergsviadukten 70, Section C6, Box 13089, Stockholm, 10302",Automotive,www.veoneer.com,,46 8 52776200,$1.7B
Minmetals Land Ltd,Hong Kong,"1,180","18 F, China Minmetals Tower, 79 Chatham Road South, Tsimshatsui, Kowloon, Hong Kong",Construction,www.minmetalsland.com,$235.5M,852  26136363,$1.7B
Rhon-Klinikum AG,Germany,"18,137","Schlossplatz 1, Bad Neustadt An Der Saale, 97616",Pharmaceuticals and Healthcare,www.rhoen-klinikum-ag.com,$1.1B,49 9 771650,$1.7B
BML Inc,Japan,"4,290","5-21-3, Sendagaya, Shibuya-Ku, Tokyo, 151-0051",Medical Equipment,www.bml.co.jp,$1.1B,81 3 33500111,$1.7B
Acron,Russia,"11,205","Velikiy Novgorod, 173012",Chemicals,www.acron.ru,$10.7B,7 816 2996555,$1.7B
Siltronic AG,Germany,"4,300","Einsteinstrasse 172, Muenchen, 81677",Technology and Communications,www.siltronic.com,$2.6B,49 89 85643000,$1.7B
Franklin Electric Co Inc,United States of America,"6,400","9255 Coverdale Road, Fort Wayne, Indiana, 46809",Industrial Goods and Machinery,franklin-electric.com,$3.9B,1 260 8242900,$1.7B
Forward Air Corp,United States of America,"4,035","430 Airport Rd, Greeneville, Tennessee, 37745",Transport and Logistics,www.forwardair.com,$2.7B,1 423 6367000,$1.7B
Godrej Consumer Products Ltd,India,"2,601","Pirojshanagar, Eastern Express Highway, Vikhroli, Mumbai, 400079",Consumer Packaged Goods,www.godrejcp.com,$11.6B,91 22 25188010,$1.7B
Fujitec Co Ltd,Japan,"10,683","Big Wing, 591-1, Miyata-Cho, Hikone-Shi, Shiga, 522-8588",Industrial Goods and Machinery,www.fujitec.co.jp,$2.0B,81 749 307111,$1.7B
Glenmark Pharmaceuticals Ltd,India,"15,415","B D S Marg, Chakala, Off Western Express Highway, Andheri (E), Mumbai, 400099",Pharmaceuticals and Healthcare,glenmarkpharma.com,$1.4B,91 22 40189999,$1.7B
Matador Resources Co,United States of America,286,"Ste. 1500, 5400 Lbj Freeway, Dallas, Texas, 75240",Energy and Utilities,www.matadorresources.com,$7.0B,1 972 3715200,$1.7B
L&T Finance Holdings Ltd,India,"24,643","Brindavan, Plot No. 177, C.S.T Road Kalina, Santacruz (East), Mumbai, Maharashtra, 400098",Financial Services,www.ltfs.com,$2.9B,91 22 62125553,$1.7B
Northland Power Inc,Canada,"1,186","30 St.Clair Avenue West, 17th Floor, Toronto, Ontario, M4V3A1",Power,www.northlandpower.com/Default.aspx,$7.1B,1 647 2881438,$1.7B
Celltrion Inc,South Korea,"1,074","23, Academy-Ro, Yeonsu-Gu, Incheon, 22014",Pharmaceuticals and Healthcare,www.celltrion.com,$19.4B,82 2 16618722,$1.7B
Camil Alimentos SA,Brazil,"7,000","R Fortunato Ferraz, 1001 1141, Vila Anastacio, Sao Paulo, 05.425-070",Consumer Packaged Goods,www.camil.com.br,$631.0M,55 11 30399200,$1.7B
SM Prime Holdings Inc,Philippines,"8,141","Mall Of Asia Complex Annex Building, Coral Way Cor. J.W. Diokno Blvd., Brgy. 76, Zone 10, Cbp-1a, Pasay, 1300",Construction,www.smprime.com,$20.1B,63 2 8311000,$1.7B
Kyushu Financial Group Inc,Japan,"4,596","1-12-3, Kasuga, Nishi-ku, Kumamoto-Shi, 860-0047",Financial Services,www.kyushu-fg.co.jp,$1.7B,81 96 3265588,$1.7B
Triton International Ltd,Bermuda,237,"Victoria Place, 5th Floor, 31 Victoria Street, Hamilton, HM10",Transport and Logistics,www.tritoninternational.com,$4.2B,1 441 2948033,$1.7B
Saigon Thuong Tin Commercial Joint Stock Bank,Vietnam,"18,380","266 - 268 Nam Ky Khoi Nghia, Phuong Vo Thi Sau, Quan 3, Ho Chi Minh",Financial Services,www.sacombank.com,$2.2B,84 8 39320420,$1.7B
Lancaster Colony Corp,United States of America,"3,200","380 Polaris Parkway, Westerville, Ohio, 43082",Consumer Packaged Goods,www.lancastercolony.com,$5.3B,1 614 2247141,$1.7B
Net One Systems Co Ltd,Japan,"2,703","24f, Jp Tower, 2-7-2, Marunouchi, Chiyoda-Ku, Tokyo, 100-7024",Technology and Communications,www.netone.co.jp,$2.3B,81 3 62560600,$1.7B
Koppers Holdings Inc,United States of America,"2,088","436 7th Ave, Pittsburgh, Pennsylvania, 15219-1826",Chemicals,www.koppers.com,$661.6M,1 412 2272001,$1.7B
Randon SA Implementos e Participacoes,Brazil,"6,413","Av. Abramo Randon, 770, Interlagos, Caxias Do Sul, 95.055-010",Automotive,www.randon.com.br,$493.6M,55 54 32092000,$1.7B
Marr SpA,Italy,"1,003","Via Spagna 20, Rimini, 47921",Retailing,www.marr.it,$930.5M,39 0541 746111,$1.7B
B3 SA,Brazil,"2,135","Praca Antonio Prado, 48 7 Andar, Centro, Sao Paulo, 01.010-901",Financial Services,www.b3.com.br,$15.4B,55 11 25654000,$1.7B
NHN Corp,South Korea,627,"Nhn Ent. Play Museum, 16, Daewangpangyo-Ro 645beon-Gil, Bundang-Gu, Seongnam, 13487",Technology and Communications,www.nhn.com,$736.5M,82 2 15446859,$1.7B
Plantronics Inc,United States of America,"6,500","345 Encinal Street, Santa Cruz, California, 95060",Technology and Communications,www.poly.com/us/en,,1 831 4203002,$1.7B
Largan Precision Co Ltd,Taiwan,"6,285","No.11, Jingke Road, Nantun District, Taichung, 408",Technology and Communications,www.largan.com.tw,$9.2B,886 4 36002345,$1.7B
Tata Consumer Products Ltd,India,"2,932","11/13, Botawala Building, 1st Floor, Office No. 2 -6, Horniman Circle Fort, Mumbai, Maharashtra, 400001",Consumer Packaged Goods,www.tataconsumer.com,$8.5B,,$1.7B
SRF Ltd,India,"6,674","Block-C, Sector - 45, Gurgaon, 122003",Chemicals,www.srf.com/index.html,$7.9B,91 124 4354400,$1.7B
AdvanSix Inc,United States of America,"1,375","300 Kimball Dr Ste 101, Parsippany, New Jersey, 07054-2181",Chemicals,www.advansix.com,$1.2B,1 973 5261800,$1.7B
United Therapeutics Corp,United States of America,965,"1040 Spring St, Silver Spring, Maryland, 20910",Pharmaceuticals and Healthcare,www.unither.com,$11.8B,1 301 6089292,$1.7B
Shenzhen Expressway Co Ltd,China,"7,032","Podium Level 2-4, Jiangsu Building, Yitian Road, Futian District, Shenzhen, Guangdong, 518057",Construction,www.sz-expressway.com,$2.6B,86 755 82853330,$1.7B
Stride Inc,United States of America,"7,500","11720 Plaza America Drive, 9th Floor, Reston, Virginia, 20190",Business and Consumer Services,www.stridelearning.com,$1.4B,1 703 4837000,$1.7B
DHC Software Co Ltd,China,"11,766","16f, No.3 Building,Dnghhchng Mnsn, Zijin Digital Park, Zhichun Road, Haidian District, Beijing, 100190",Technology and Communications,www.dhcc.com.cn,$2.9B,86 10 62662188,$1.7B
360 Security Technology Inc,China,"7,393","No. 28, Weixin Road, Zhongxin Eclgcl Science Hub, Suzhou Industrial Park Zone, Beijing, 100015",Technology and Communications,www.360.cn,$7.3B,86 10 56821816,$1.7B
Contact Energy Ltd,New Zealand,"1,179","Level 1, Harbour City Tower, 29 Brandon Street, Wellington, 6011",Power,contact.co.nz,$4.0B,64 4 4994001,$1.7B
Alltek Technology Corp,Taiwan,645,"9f, No.360, Ruei Guang Road, Neihu District, Taipei, 114",Technology and Communications,www.alltek.com,$272.0M,886 2 26275859,$1.7B
Kagome Co Ltd,Japan,"2,822","3-14-15, Nishiki, Naka-Ku, Nagoya-Shi, Aichi, 460-0003",Consumer Packaged Goods,www.kagome.co.jp,$2.2B,81 52 9513571,$1.7B
Radico Khaitan Ltd,India,"1,196","Plot No. J-I, Block B-I, Mohan Co-operative Industrial Area, Mathura Road, New Delhi, 110044",Consumer Packaged Goods,www.radicokhaitan.com,$1.8B,91 11 40975444,$1.7B
Sabre Corp,United States of America,"7,583","3150 Sabre Dr, Southlake, Texas, 76092-2103",Technology and Communications,investors.sabre.com,$2.2B,1 682 6051000,$1.7B
MonotaRO Co Ltd,Japan,994,"3f, Liber, 2-183, Takeya-Cho, Amagasaki-Shi, Hyogo, 660-0876",Retailing,www.monotaro.com,$7.8B,81648697111,$1.7B
Ubiquiti Inc,United States of America,"1,377","685 3rd Ave Fl 27, New York, 10017-4024",Technology and Communications,www.ui.com,$17.4B,1 646 7807958,$1.7B
NOS SGPS SA,Portugal,"2,337","Campo Grande Building, Rua Actor Antonio Silva nº9, Lumiar, Lisboa , 1600-404",Media,www.nos.pt,$2.2B,351 21 7824700,$1.7B
Hibbett Sports Inc,United States of America,"3,600","2700 Milan Court, Birmingham, Alabama, 35211",Retailing,www.hibbett.com,$855.2M,1 205 9424292,$1.7B
Hangzhou Great Star Industrial Co Ltd,China,"10,778","No. 35, Jiuhuan Road, Jianggan District, Hangzhou, Zhejiang, 310019",Industrial Goods and Machinery,www.greatstartools.com,$3.6B,86 571 81601076,$1.7B
Cincinnati Bell Inc,United States of America,"5,200","221 East 4th Street, Cincinnati, Ohio, 45202",Technology and Communications,www.cincinnatibell.com,,1 513 3979900,$1.7B
Bauer AG,Germany,"11,821","Bauer-Strasse 1, Schrobenhausen, 86529",Construction,www.bauer.de,$176.3M,49 825 2970,$1.7B
Jet2 Plc,United Kingdom,"8,270","Low Fare Finder House, White House Lane, Leeds, LS197TU",Transport and Logistics,www.jet2plc.com,$2.8B,44 113 2387444,$1.7B
Trend Micro Inc,Japan,"7,024","Shinjuku Maynds Tower, 2-1-1, Yoyogi, Shibuya-Ku, Tokyo, 1510053",Technology and Communications,www.trendmicro.com,$6.8B,81 3 53343618,$1.7B
Breedon Group PLC,United Kingdom,"3,457","28 Esplanade, Breedon Quarry, Breedon On The Hill, Saint Helier, JE23QA",Construction,www.breedongroup.com,$1.3B,44 1332 694010,$1.7B
Elekta AB,Sweden,"4,723","Kungstensgatan 18, Stockholm, 11357",Medical Equipment,www.elekta.com,$2.6B,46 8 5872544646,$1.7B
Chudenko Corp,Japan,"4,531","Heiwaodori Denki Bldg., 6-12, Koami-Cho, Naka-Ku, Hiroshima-Shi, 730-0855",Construction,www.chudenko.co.jp,$942.0M,81 82 2917411,$1.7B
Quidel Corp,United States of America,"1,600","9975 Summers Ridge Road, San Diego, California, 92121",Medical Equipment,www.quidel.com,,1 858 5521100,$1.7B
Firstcash Holdings Inc,United States of America,"17,000","1600 West 7th Street, Fort Worth, Texas, 76102",Financial Services,www.firstcash.com,$4.0B,1 817 2582650,$1.7B
CESC Ltd,India,"6,920","Cesc House, Chowringhee Square, Kolkata, 700001",Power,www.cesc.co.in,$1.2B,91 33 22256040,$1.7B
C&C Group plc,Ireland,"2,822","Bulmers House, Keeper Road, Dublin, D12K702",Consumer Packaged Goods,candcgroupplc.com,$800.1M,353 1 5063900,$1.7B
Morningstar Inc,United States of America,"10,767","22 W Washington St, Chicago, Illinois, 60602",Business and Consumer Services,www.morningstar.com,$10.2B,1 312 6966000,$1.7B
Schibsted ASA,Norway,"5,689","Akersgata 55, Oslo, 0180",Media,schibsted.com,$4.9B,47 2 3106600,$1.7B
Watches Of Switzerland Group PLC,United Kingdom,"2,253","Aurum House, 2 Elland Road, Leicester, LE31TT",Retailing,www.thewosgroupplc.com,$2.9B,44 116 2322000,$1.7B
United Bank for Africa Plc,Nigeria,"10,281","57 Marina, Lagos",Financial Services,www.ubagroup.com,$615.2M,234 1 6319822,$1.7B
Galliford Try Holdings Plc,United Kingdom,"3,016","Blake House 3 Frayswater Place, Cowley, Uxbridge, Middlesex, UB82AD",Construction,www.gallifordtry.co.uk,$223.8M,01 895 855001,$1.7B
Toast Inc,United States of America,"3,172","401 Park Drive Suite 801, Boston, Massachusetts, 02215",Technology and Communications,pos.toasttab.com,$10.6B,1 617 2971005,$1.7B
William Hill Ltd,United Kingdom,"11,615","1 Bedford Avenue, London, England, WC1B3AU",Leisure and Arts,www.williamhillplc.com/,,44 20 89183600,$1.7B
Gerresheimer AG,Germany,"10,937","Klaus-Bungert-Strasse 4, Duesseldorf, 40468",Paper and Packaging,www.gerresheimer.com,$2.4B,49 211 618100,$1.7B
Allegiant Travel Co,United States of America,"5,226","1201 N. Town Center Drive, Las Vegas, Nevada, 89144",Transport and Logistics,www.allegiantair.com,$1.5B,1 702 8517300,$1.7B
Constantia Flexibles Group GmbH,Austria,"8,750","Rivergate, Handelskai 92, Vienna, Wien, 1200",Paper and Packaging,www.cflex.com,,43 1 8885640,$1.7B
Sykes Enterprises Inc,United States of America,"61,100","400 NORTH ASHLEY DRIVE, STE 2800, Tampa, Florida, 33602",Business and Consumer Services,www.sykes.com,,1 813 2741000,$1.7B
Redde Northgate Plc,United Kingdom,"6,700","Lingfield Way, Darlington, DL14PZ",Automotive,reddenorthgate.co.uk,$1.2B,44 1325 467558,$1.7B
Bobst Group SA,Switzerland,"5,915","Route De Faraz 3, Mex, Lausanne, 1031",Industrial Goods and Machinery,www.bobst.com,,41 21 6212111,$1.7B
VK Co Ltd,Cyprus,"10,000","28 Oktovriou, 232, Oceanic Building, Flat/Office 501, Limassol, 3107",Media,vk.company/en,$1.7B,,$1.7B
Avianca Holdings SA,Panama,"20,865","Aquilino De La Guardia Calle No. 8, Panama City, 110911",Transport and Logistics,www.aviancataca.com,$3.8M,507 2 05600,$1.7B
Titan Machinery Inc,United States of America,"2,288","644 E Beaton Dr, West Fargo, North Dakota, 58078-2648",Retailing,www.titanmachinery.com,$926.7M,1 701 3560130,$1.7B
Ganfeng Lithium Group Co Ltd,China,"8,835","Longteng Road, Economic Development Zone, Xinyu, Jiangxi, 338000",Chemicals,www.ganfenglithium.com,$21.4B,86 790 6415606,$1.7B
Grameenphone Ltd,Bangladesh,"1,636","Gphouse, Basundhara, Baridhara, Dhaka, 1229",Technology and Communications,www.grameenphone.com,$3.7B,880 2 9882990,$1.7B
Scentre Group Ltd,Australia,"2,780","L 30 85 Castlereagh St, Sydney, New South Wales, 2000",Construction,www.scentregroup.com,$10.9B,61 2 93587877,$1.7B
Lumentum Holdings Inc,United States of America,"6,815","1001 Ridder Park Dr, San Jose, California, 95131-2314",Technology and Communications,investor.lumentum.com,$4.0B,1 408 5465483,$1.7B
Shenzhen Everwin Precision Technology Co Ltd,China,"29,181","No.11 Building, Qiaotou, Fuyong Town, Fuqiao Industrial Area 3,Baoan District, Shenzhen, Guangdong, 518103",Technology and Communications,www.ewpt.com,$2.2B,86 755 27347334,$1.7B
Beijing Jingkelong Co Ltd,China,"4,659","No. 45, Xinyuan Street, Chaoyang District, Beijing, 100027",General Business,www.jkl.com.cn,$38.5M,86 10 64688233,$1.7B
Oriola Corp,Finland,892,"Orionintie 5, Espoo, 02200",Pharmaceuticals and Healthcare,www.oriola.com,$359.2M,358 10 42999,$1.7B
NOF Corp,Japan,"3,787","19f, Ebisu Garden Place Tower, 4-20-3, Ebisu, Shibuya-Ku, Tokyo, 150-6019",Chemicals,www.nof.co.jp,$3.5B,81 3 54246600,$1.7B
Domino's Pizza Enterprises Ltd,Australia,743,"Ksd1, L 1 485 Kingsford Smith Drive, Brisbane, Queensland, 4007",Leisure and Arts,www.dominos.com.au,$4.6B,61 7 36333333,$1.7B
Guangzhou Tinci Materials Technology Co Ltd,China,"4,020","No. 8, Kangda Road, Dongchengpian, Yunpu Industry Zone, Huangpu District, Guangzhou, Guangdong, 510700",Chemicals,www.tinci.com,$13.4B,86 20 66608666,$1.7B
The Manitowoc Co Inc,United States of America,"4,600","11270 W Park Pl Ste 1000, Milwaukee, Wisconsin, 53224-3643",Construction,www.manitowoc.com,$433.1M,1 414 7604600,$1.7B
Hyundai Elevator Co Ltd,South Korea,"1,874","128, Chungjusandan 1-Ro, 27329",Industrial Goods and Machinery,hyundaielevator.co.kr,$971.4M,82 43 7221000,$1.7B
Jiangsu Lihua Animal Husbandry Co Ltd,China,"6,298","No.500, Hexi Village, Luxi Village, Committee, Niutang Town, Wujin District, Changzhou, Jiangsu, 213168",Agriculture and Forestry,www.lihuamuye.com,$2.6B,86 519 86350908,$1.7B
GTT Communications Inc,United States of America,"3,100","7900 Tysons One Place, Suite 1450, Mclean, Virginia, 22102",Technology and Communications,www.gtt.net,,1 703 4425500,$1.7B
Bank Muscat,Oman,"3,920","Building No. 120/4 Block No.: 311, Airport Heights, Seeb Street No.: 62 P, P.O.Box 134, Muscat, 112",Financial Services,www.bankmuscat.com,$5.5B,968 24 795555,$1.7B
Fugro NV,Netherlands,"9,000","Veurse Achterweg 10, Leidschendam, 2264SG",Energy and Utilities,www.fugro.com,$1.4B,31 70 3111422,$1.7B
Eaton Vance Corp,United States of America,"1,983","Two International Place, Boston, Massachusetts, 02110",Financial Services,www.eatonvance.com/,,1 617 4828260,$1.7B
Jiangxi Ganfeng Lithium Co Ltd,China,"7,870","Longteng Road, Economic Development Zone, Xinyu, Jiangxi, 338000",Metals and Mining,www.ganfenglithium.com,$23.6B,86 790 6415606,$1.7B
Gentex Corporation,United States of America,"4,998","600 N Centennial St, Zeeland, Michigan, 49464",Automotive,www.gentex.com,$6.7B,1 616 7721800,$1.7B
Exide Industries Ltd,India,"5,163","Exide House, 59e, Chowringhee Road, Kolkata, 700020",Industrial Goods and Machinery,www.exideindustries.com,$1.9B,91 33 23023400,$1.7B
Mirvac Group,Australia,"1,550","L 28 200 George St, Sydney, New South Wales, 2000",Construction,www.mirvac.com,$6.2B,61 2 90808000,$1.7B
TPI Composites Inc,United States of America,"14,000","Gainey Center Ii, Suite 280, 8501 N Scottsdale Road, Arizona, 85253",Alternative Energy,www.tpicomposites.com,$576.4M,1 480 3058910,$1.7B
Kindred Group plc,Malta,"2,253","Level 6, The Centre, Tigne Point, Sliema, TPO0001",Leisure and Arts,www.kindredgroup.com,$2.2B,356 21 333532,$1.7B
Hamburger Hafen und Logistik AG,Germany,"6,593","Bei St. Annen 1, Hamburg, 20457",Transport and Logistics,hhla.de,$1.0B,49 40 30880,$1.7B
Air Transport Services Group Inc,United States of America,"5,280","145 Hunter Dr, Wilmington, Ohio, 45177",Transport and Logistics,www.atsginc.com,$2.0B,1 937 3825591,$1.7B
The Shanghai Commercial & Savings Bank Ltd,Taiwan,"6,948","3-12f, No. 149, Section 2, Minsheng, East Road, Jhongshan District, Taipei, 104",Financial Services,www.scsb.com.tw,$7.6B,886 2 25817111,$1.7B
Dawning Information Industry Co Ltd,China,"4,103","No.36 Building, No.8 Courtyard, Dongbeiwang West Road, Haidian District, Beijing, 100193",Technology and Communications,www.sugon.com,$5.1B,86 10 56308016,$1.7B
CSR Ltd,Australia,"2,573","Triniti 3, L 5 39 Delhi Rd, North Ryde, New South Wales, 2113",Construction,www.csr.com.au,$1.7B,61 2 92358000,$1.7B
At Home Group Inc,United States of America,"7,692","1600 E Plano Parkway, Texas, 75074",Retailing,www.athome.com,,1 972 2656227,$1.7B
Evoqua Water Technologies Corp,United States of America,"4,500","210 Sixth Avenue, Pittsburgh, Pennsylvania, 15222",Clean Technology,aqua.evoqua.com/news-and-events/news/default.aspx,$5.0B,1 724 7720044,$1.7B
POSCO Chemical Co Ltd,South Korea,"1,324","110, Sinhang-Ro, Nam-Gu, Pohang, 37918",Construction,www.poscochemical.com,$12.1B,82 54 2900114,$1.7B
Synaptics Inc,United States of America,"1,775","1109 Mckay Drive, San Jose, California, 95131-1706",Technology and Communications,www.synaptics.com,$4.5B,1 408 9041100,$1.7B
Philippine National Bank,Philippines,"8,550","Philippine National Bank Financial Centr, Pres. Diosdado Macapagal Boulevard, Manila, 1300",Financial Services,www.pnb.com.ph,$549.7M,63 2 85263131,$1.7B
ATS Automation Tooling Systems Inc,Canada,"6,000","250 Royal Oak Rd, Cambridge, Ontario, N3E0A4",Industrial Goods and Machinery,www.atsautomation.com,$3.5B,1 519 6536500,$1.7B
FP Corp,Japan,"4,792","1-13-15, Akebono-Cho, Fukuyama-Shi, Hiroshima, 721-8607",Paper and Packaging,www.fpco.jp,$2.3B,81 84 9531145,$1.7B
Hensoldt AG,Germany,"6,364","Willy-Messerschmitt-Strasse 3, Taufkirchen, 82024",Aerospace and Defense,www.hensoldt.net,$2.8B,49 89 515180,$1.7B
The Chefs' Warehouse Inc,United States of America,"2,712","100 East Ridge Road, Ridgefield, Connecticut, 06877",Wholesale,www.chefswarehouse.com,$1.4B,1 203 8941345,$1.7B
Aveng Ltd,South Africa,"5,210","3rd Floor, 10 The High Street, Melrose Arch, Johannesburg, 2076",Construction,www.aveng.co.za,$114.1M,27 11 7792800,$1.7B
Al Baraka Banking Group BSc,Bahrain,"12,026","Bahrain Bay, P.O. Box 1882, Manama, 346",Financial Services,www.albaraka.com,$403.9M,973 1 7541122,$1.7B
Jordan Petroleum Refinery Co Ltd,Jordan,"1,883","First Circle, Jabal Amman, P.O.Box 1079, 11118",Energy and Utilities,www.jopetrol.com.jo,$887.8M,962 6 4630151,$1.7B
New York Community Bancorp Inc,United States of America,"2,815","102 Duffy Avenue, Hicksville, New York, 11801",Financial Services,ir.mynycb.com,$6.5B,1 516 6834100,$1.8B
SalMar ASA,Norway,"1,828","Industriveien 51, Kverva, Froya, 7266",Consumer Packaged Goods,www.salmar.no,$6.1B,47 72 447900,$1.8B
Starts Corporation Inc,Japan,"4,729","Starts Yaesu Chuo Bldg., 3-4-10, Nihonbashi, Chuo-Ku, Tokyo, 103-0027",Construction,www.starts.co.jp,$1.0B,81 3 62020111,$1.8B
Aggreko Ltd,United Kingdom,"6,408","120 Bothwell Street, Glasgow, G27JS",Business and Consumer Services,www.plc.aggreko.com,,44 141 2255900,$1.8B
"Universal Logistics Holdings, Inc.",United States of America,"8,004","12755 E 9 Mile Rd, Warren, Michigan, 48089-2621",Transport and Logistics,www.universallogistics.com,$922.6M,1 586 9200100,$1.8B
Fujian Longking Co Ltd,China,"7,717","No. 19, Gongye Middle Road, Xinluo District, Longyan, Fujian, 364000",Industrial Goods and Machinery,www.longking.com.cn,$2.7B,86 597 2210288,$1.8B
Ollie's Bargain Outlet Holdings Inc,United States of America,"4,700","6295 Allentown Blvd Ste 1, Harrisburg, Pennsylvania, 17112-2693",Retailing,investors.ollies.us,$3.3B,17176572300,$1.8B
