name,world_rank,marketValue,marketCap,CEO,country
AVARY HOLDING (SHENZHEN),"1,327",15.249 Billion USD,10.941 Billion USD,,China
FLAT GLASS GROUP,"1,328",15.241 Billion USD,16.376 Billion USD,,China
OBIC,"1,329",15.215 Billion USD,17.317 Billion USD,Masahiro Noda,Japan
QUANTA SERVICES,"1,330",15.203 Billion USD,14.207 Billion USD,Earl C. Austin Jr.,USA
SWIRE PROPERTIES,"1,331",15.187 Billion USD,16.503 Billion USD,,Hong Kong
CHINA SHIPBUILDING INDUSTRY COMPANY,"1,332",15.186 Billion USD,15.391 Billion USD,,China
DAQIN RAILWAY,"1,333",15.166 Billion USD,13.804 Billion USD,,China
FIDELITY NATIONAL FINANCIAL,"1,334",15.154 Billion USD,13.932 Billion USD,William P. Foley II,USA
PRADA,"1,335",15.139 Billion USD,15.718 Billion USD,Miuccia Prada,Italy
HYDRO ONE,"1,336",15.135 Billion USD,14.839 Billion USD,Mark Poweska,Canada
REA GROUP,"1,337",15.130 Billion USD,15.104 Billion USD,,Australia
KANZHUN LTD,"1,338",15.100 Billion USD,15.075 Billion USD,,China
SHANGHAI INTERNATIONAL AIRPORT,"1,339",15.095 Billion USD,12.565 Billion USD,,China
ICAHN ENTERPRISES,"1,340",15.075 Billion USD,14.689 Billion USD,Keith Cozza,USA
STORA ENSO OYJ,"1,341",15.063 Billion USD,16.031 Billion USD,Annica Bresky,Finland
ABN AMRO BANK,"1,342",15.059 Billion USD,13.348 Billion USD,,Netherlands
BUILDERS FIRSTSOURCE,"1,343",15.058 Billion USD,11.042 Billion USD,Dave Flitman,USA
DR. SULAIMAN AL HABIB MEDICAL SERVICES GROUP COMPANY,"1,344",15.045 Billion USD,17.294 Billion USD,,Saudi Arabia
RAKUTEN,"1,345",15.042 Billion USD,15.698 Billion USD,Hiroshi Mikitani,Japan
W. P. CAREY,"1,346",15.026 Billion USD,14.834 Billion USD,Jason E. Fox,USA
LIBERTY GLOBAL,"1,347",15.016 Billion USD,16.019 Billion USD,Mike Fries,UK
WARNER BROS. DISCOVERY INC,"1,348",15.018 Billion USD,13.865 Billion USD,David Zaslav,USA
BANK OF BEIJING,"1,349",15.008 Billion USD,13.923 Billion USD,,China
JD SPORTS FASHION,"1,350",15.001 Billion USD,14.799 Billion USD,,UK
SECOM,"1,351",14.982 Billion USD,16.753 Billion USD,Stewart Yen,Japan
STANDARD BANK GROUP,"1,352",14.982 Billion USD,15.871 Billion USD,Lungisa Fuzile,South Africa
SHAW COMMUNICATIONS,"1,353",14.984 Billion USD,14.704 Billion USD,Bradley Shaw,Canada
UNITED COMPANY RUSAL,"1,354",14.968 Billion USD,11.522 Billion USD,,Russia
ALUMINUM CORPORATION OF CHINA,"1,355",14.949 Billion USD,18.848 Billion USD,,China
INDIAN OIL CORPORATION,"1,356",14.954 Billion USD,14.602 Billion USD,,India
W. R. BERKLEY CORPORATION,"1,357",14.940 Billion USD,13.370 Billion USD,William R. Berkley,USA
WHARF REAL ESTATE INVESTMENT COMPANY,"1,358",14.926 Billion USD,15.353 Billion USD,,Hong Kong
EQUITY LIFESTYLE PROPERTIES,"1,359",14.890 Billion USD,15.740 Billion USD,Marguerite M Nader,USA
SILERGY,"1,360",14.883 Billion USD,14.392 Billion USD,Wei Chen,Taiwan
THE MOSAIC COMPANY,"1,361",14.883 Billion USD,12.225 Billion USD,James C. O Rourke,USA
ADVANCE AUTO PARTS,"1,362",14.846 Billion USD,12.780 Billion USD,Thomas R. Greco,USA
JBS,"1,363",14.840 Billion USD,14.871 Billion USD,Jeremiah O Callaghan,Brazil
PHARMARON BEIJING,"1,364",14.833 Billion USD,22.954 Billion USD,,China
CF INDUSTRIES HOLDINGS,"1,365",14.829 Billion USD,9.770 Billion USD,W Anthony Will,USA
TELEFLEX,"1,366",14.823 Billion USD,18.508 Billion USD,Liam Kelly,USA
TDK CORPORATION,"1,367",14.791 Billion USD,13.423 Billion USD,Shigenao Ishiguro,Japan
INTERPUBLIC GROUP OF COMPANIES,"1,368",14.782 Billion USD,14.654 Billion USD,Philippe Krakowsky,USA
OTP BANK NYRT,"1,369",14.752 Billion USD,16.710 Billion USD,Sasndor Csanyi,Hungary
BANQUE SAUDI FRANSI,"1,370",14.747 Billion USD,13.085 Billion USD,Rayan Mohammed Fayez,Saudi Arabia
HINDALCO INDUSTRIES,"1,371",14.740 Billion USD,14.406 Billion USD,,India
JULIUS BAR GRUPPE AG,"1,372",14.734 Billion USD,14.716 Billion USD,Romeo Lacher ,Switzerland
BILIBILI,"1,373",14.719 Billion USD,30.721 Billion USD,,China
LYFT,"1,374",14.685 Billion USD,15.962 Billion USD,Logan Green,USA
PJSC TATNEFT,"1,375",14.690 Billion USD,15.218 Billion USD,,Russia
JERONIMO MARTINS SGPS,"1,376",14.681 Billion USD,13.352 Billion USD,Pedro Manuel de Castro Soares dos Santos,Portugal
LINE CORPORATION,"1,377","1,377",12.662 Billion USD,,Japan
DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY,"1,377",14.671 Billion USD,25.367 Billion USD,,Thailand
SUBARU CORPORATION,"1,378",14.644 Billion USD,14.396 Billion USD,Yasuyuki Yoshinaga,Japan
WALVAX BIOTECHNOLOGY,"1,379",14.624 Billion USD,18.867 Billion USD,,China
YANZHOU COAL MINING COMPANY,"1,380",14.615 Billion USD,14.613 Billion USD,,China
PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY,"1,381",14.621 Billion USD,13.476 Billion USD,Phongsthorn Thavisin,Thailand
SMURFIT KAPPA GROUP,"1,382",14.596 Billion USD,15.027 Billion USD,,Ireland
GRAB,"1,383","1,383","1,383",,Singapore
JUUL LABS,"1,383","1,383","1,383",,USA
WISH,"1,383","1,383","1,383",,USA
"ALBERTSONS COMPANIES, INC.","1,383",14.579 Billion USD,14.164 Billion USD,Vivek S. Sankaran,USA
DOLLARAMA,"1,384",14.569 Billion USD,13.955 Billion USD,Stephen Gunn,Canada
SEKISUI HOUSE,"1,385",14.549 Billion USD,13.659 Billion USD,Hide Seguchi,Japan
SGHOLDINGS,"1,386",14.540 Billion USD,17.599 Billion USD,Eiichi Kuriwada,Japan
VODACOM GROUP,"1,387",14.538 Billion USD,16.402 Billion USD,Shameel Joosub,South Africa
BANK OF NANJING,"1,388",14.536 Billion USD,14.440 Billion USD,,China
ABIOMED,"1,389",14.526 Billion USD,16.517 Billion USD,Michael R. Minogue,USA
HOWMET AEROSPACE,"1,390",14.530 Billion USD,13.618 Billion USD,John C. Plant,USA
BANCO DO BRASIL,"1,391",14.492 Billion USD,16.498 Billion USD,Andre Guilherme Brandao,Brazil
ITAUSA - INVESTIMENTOS ITAU,"1,392",14.483 Billion USD,18.487 Billion USD,Alfredo Egydio Arruda Villela Filho,Brazil
PKO BANK POLSKI EN,"1,393",14.476 Billion USD,14.177 Billion USD,Iwona Duda,Poland
BANK HAPOALIM,"1,394",14.480 Billion USD,11.560 Billion USD,Dov Kotler,Israel
ROLLS-ROYCE HOLDINGS,"1,395",14.458 Billion USD,13.425 Billion USD,,UK
BUREAU VERITAS SA,"1,396",14.433 Billion USD,15.097 Billion USD,,France
SUEZ SA,"1,397",14.416 Billion USD,14.816 Billion USD,,France
MARKETAXESS HOLDINGS,"1,398",14.402 Billion USD,18.085 Billion USD,Richard McVey,USA
COMPANHIA PARANAENSE DE ENERGIA - COPEL,"1,399",14.394 Billion USD,17.240 Billion USD,,Brazil
PLUG POWER,"1,400",14.386 Billion USD,14.968 Billion USD,George C. McNamee,USA
FORMULA ONE GROUP,"1,401",14.389 Billion USD,11.574 Billion USD,Stefano Domenicali,USA
POWER GRID CORPORATION OF INDIA,"1,402",14.378 Billion USD,12.861 Billion USD,,India
HANGZHOU TIGERMED CONSULTING,"1,403",14.371 Billion USD,17.362 Billion USD,,China
AXA EQUITABLE HOLDINGS,"1,404",14.365 Billion USD,12.786 Billion USD,Joan Lamm-Tennant,USA
FIRST CITIZENS BANCSHARES,"1,405",14.361 Billion USD,8.674 Billion USD,Lewis R. Holding,USA
ZILLOW GROUP,"1,406",14.353 Billion USD,24.275 Billion USD,Rich Barton,USA
YANG MING MARINE TRANSPORT CORPORATION,"1,407",14.348 Billion USD,15.714 Billion USD,Cheng Cheng Mount,Taiwan
BANK OF JIANGSU,"1,408",14.349 Billion USD,14.445 Billion USD,,China
TOAST,"1,409",14.335 Billion USD,"2,707",Chris Comparato,USA
10X GENOMICS,"1,410",14.275 Billion USD,19.507 Billion USD,"John R. Stuelpnagel, D.V.M",USA
SOCIEDAD QUIMICA Y MINERA DE CHILE,"1,411",14.270 Billion USD,14.896 Billion USD,Ricardo Ramos,Chile
KYOWA KIRIN,"1,412",14.246 Billion USD,18.091 Billion USD,Masashi Miyamoto,Japan
AVIC AIRCRAFT,"1,413",14.252 Billion USD,12.417 Billion USD,,China
HAL TRUST,"1,414",14.241 Billion USD,15.364 Billion USD,,Monaco
SUZANO,"1,415",14.221 Billion USD,15.945 Billion USD,Walter Schalka,Brazil
GSX TECHEDU,"1,415","1,415",12.340 Billion USD,,China
360 SECURITY TECHNOLOGY,"1,416",14.220 Billion USD,12.947 Billion USD,,China
LPL FINANCIAL HOLDINGS,"1,417",14.219 Billion USD,11.864 Billion USD,Dan Arnold,USA
ASYMCHEM LABORATORIES (TIANJIN),"1,418",14.214 Billion USD,12.902 Billion USD,,China
F5 INC,"1,419",14.202 Billion USD,12.278 Billion USD,Francois Locoh-Donou,USA
MARATHON OIL CORPORATION,"1,420",14.201 Billion USD,9.264 Billion USD,Lee M. Tillman,USA
SHINKIN CENTRAL BANK,"1,421",14.177 Billion USD,14.860 Billion USD,,Japan
HASBRO,"1,422",14.178 Billion USD,13.536 Billion USD,Rich Stoddart,USA
SINO BIOPHARMACEUTICAL,"1,423",14.151 Billion USD,16.442 Billion USD,,Hong Kong
GRUPO BIMBO,"1,424",14.139 Billion USD,11.373 Billion USD,Daniel Servitje Montull,Mexico
VIVENDI,"1,425",14.134 Billion USD,41.741 Billion USD,,France
NEWCREST MINING,"1,426",14.113 Billion USD,15.192 Billion USD,,Australia
KION GROUP AG,"1,427",14.105 Billion USD,14.067 Billion USD,,Germany
CENTURYLINK,"1,428",14.099 Billion USD,13.594 Billion USD,"Glen F. Post, III",USA
DP WORLD,"1,428","1,428","1,428",,UAE
C.H. ROBINSON WORLDWIDE,"1,429",14.094 Billion USD,11.862 Billion USD,Robert Biesterfeld,USA
XERO,"1,430",14.079 Billion USD,16.753 Billion USD,,New Zealand
NEXT PLC,"1,431",14.071 Billion USD,14.741 Billion USD,,UK
HEIDELBERG CEMENT AG,"1,432",14.035 Billion USD,17.288 Billion USD,,Germany
MASIMO CORPORATION,"1,433",14.026 Billion USD,14.950 Billion USD,Joe Kiani,USA
ZHEJIANG SANHUA INTELLIGENT CONTROLS,"1,434",14.018 Billion USD,13.517 Billion USD,,China
CROWN HOLDINGS,"1,435",14.007 Billion USD,14.420 Billion USD,John W. Conway,USA
OPPEIN HOME GROUP,"1,436",14.011 Billion USD,13.908 Billion USD,,China
IHH HEALTHCARE BERHAD,"1,437",14.007 Billion USD,13.617 Billion USD,Kelvin Loh,Malaysia
E.SUN FINANCIAL HOLDING COMPANY,"1,438",13.995 Billion USD,12.506 Billion USD,Joseph N.C. Huang,Taiwan
BESTSELLER,"1,438",,,,Denmark
UNI-PRESIDENT ENTERPRISES,"1,439",13.987 Billion USD,14.605 Billion USD,Win Yang,Taiwan
ATMOS ENERGY CORPORATION,"1,440",13.973 Billion USD,12.753 Billion USD,Robert W. Best,USA
TCL CORPORATION,"1,441",13.961 Billion USD,15.132 Billion USD,,China
SUMITOMO REALTY & DEVELOPMENT,"1,442",13.926 Billion USD,17.672 Billion USD,,Japan
BRENNTAG AG,"1,443",13.934 Billion USD,15.380 Billion USD,,Germany
TELEFONICA BRASIL,"1,444",13.922 Billion USD,14.248 Billion USD,Eduardo Navarro,USA
BOUYGUES SA,"1,445",13.909 Billion USD,16.211 Billion USD,,France
DABUR INDIA,"1,446",13.909 Billion USD,15.484 Billion USD,,India
CHAILEASE HOLDING COMPANY,"1,447",13.914 Billion USD,13.602 Billion USD,Fong-Long Chen,Taiwan
NOMURA HOLDINGS,"1,448",13.865 Billion USD,15.279 Billion USD,Kentaro Okuda,Japan
ALSTOM SA,"1,449",13.861 Billion USD,15.970 Billion USD,,France
LENOVO GROUP,"1,450",13.863 Billion USD,13.337 Billion USD,,China
MEDICAL PROPERTIES TRUST,"1,451",13.864 Billion USD,12.477 Billion USD,Edward K Aldag,USA
NORDSON CORPORATION,"1,452",13.851 Billion USD,13.869 Billion USD,Sundaram Nagarajan,USA
AMERICAN HOMES 4 RENT,"1,453",13.841 Billion USD,13.550 Billion USD,David P. Singelyn,USA
CAMPBELL SOUP COMPANY,"1,454",13.835 Billion USD,12.646 Billion USD,Keith R. McLoughlin,USA
MAHINDRA & MAHINDRA,"1,455",13.815 Billion USD,13.388 Billion USD,,India
WHIRLPOOL CORPORATION,"1,456",13.791 Billion USD,13.891 Billion USD,Jeff M. Fettig,USA
HUAYU AUTOMOTIVE SYSTEMS COMPANY,"1,457",13.793 Billion USD,11.241 Billion USD,,China
LOGITECH INTERNATIONAL,"1,458",13.772 Billion USD,17.284 Billion USD,Bracken P. Darrell,Switzerland
AMERCO,"1,459",13.763 Billion USD,12.964 Billion USD,Joe Shoen,USA
VAT GROUP AG,"1,460",13.761 Billion USD,12.527 Billion USD,,Switzerland
FORTUNE BRANDS HOME & SECURITY,"1,461",13.753 Billion USD,13.425 Billion USD,Nicholas Fink,USA
RENTOKIL INITIAL,"1,462",13.741 Billion USD,14.948 Billion USD,,UK
HUA XIA BANK,"1,463",13.744 Billion USD,13.087 Billion USD,,China
CAPITALAND INVESTMENT LIMITED,"1,464",13.729 Billion USD,15.671 Billion USD,Miguel Kai Kwun Ko,Singapore
XINYI SOLAR HOLDINGS,"1,465",13.723 Billion USD,20.639 Billion USD,,China
FMC CORPORATION,"1,466",13.716 Billion USD,12.050 Billion USD,Mark A. Douglas,USA
AB INDUSTRIVARDEN (PUBL),"1,467",13.700 Billion USD,16.350 Billion USD,Fredrik Lundberg,Sweden
ORIENT SECURITIES COMPANY,"1,468",13.643 Billion USD,15.243 Billion USD,,China
ZOMATO,"1,469",13.641 Billion USD,14.518 Billion USD,Kaushik Dutta,India
NIPPON YUSEN KABUSHIKI KAISHA,"1,470",13.632 Billion USD,13.386 Billion USD,Hitoshi Nagasawa,Japan
BUNGE,"1,471",13.633 Billion USD,10.729 Billion USD,Greg Heckman,USA
CHINA EASTERN AIRLINES CORPORATION,"1,472",13.628 Billion USD,10.111 Billion USD,,China
"SK BIOSCIENCE CO.,LTD.","1,473",13.589 Billion USD,20.296 Billion USD,,South Korea
HANSOH PHARMACEUTICAL GROUP COMPANY,"1,474",13.590 Billion USD,16.784 Billion USD,,China
PTC Inc,"1,475",13.565 Billion USD,15.455 Billion USD,James E. Heppelmann,USA
AEROPORTS DE PARIS SA,"1,476",13.570 Billion USD,12.002 Billion USD,Augustin de Romanet,France
CERIDIAN HCM HOLDING,"1,477",13.555 Billion USD,16.837 Billion USD,,USA
IRON MOUNTAIN,"1,478",13.548 Billion USD,13.773 Billion USD,William Meaney,USA
ALINMA BANK,"1,479",13.546 Billion USD,12.442 Billion USD,Abdulmalek bin Abdullah bin Hamad Al-Hogail,Saudi Arabia
SIAM CEMENT PUBLIC COMPANY,"1,480",13.543 Billion USD,15.922 Billion USD,Air Chief Marshal Satitpong Sukvimol,Thailand
KIRIN HOLDINGS COMPANY,"1,481",13.536 Billion USD,15.415 Billion USD,Yoshinori Isozaki,Japan
ASAHI KASEI CORPORATION,"1,482",13.467 Billion USD,14.451 Billion USD,Hideki Kobori,Japan
LOVE'S TRAVEL STOPS & COUNTRY STORES,"1,482",,,Tom and Judy Love,USA
TREX COMPANY,"1,483",13.462 Billion USD,12.660 Billion USD,James E. Cline,USA
L E LUNDBERGFORETAGEN AB (PUBL),"1,484",13.450 Billion USD,16.642 Billion USD,Mats Guldbrand ,Sweden
CSPC PHARMACEUTICAL GROUP,"1,485",13.432 Billion USD,15.628 Billion USD,,China
ISRAEL CHEMICALS,"1,486",13.412 Billion USD,9.156 Billion USD,Raviv Zoller,Israel
E*TRADE FINANCIAL CORPORATION,"1,487","1,487","1,487",,USA
SAMSUNG ELECTRO-MECHANICS,"1,487",13.403 Billion USD,14.154 Billion USD,Chang Duckhyun,South Korea
MONTAGE TECHNOLOGY GROUP,"1,488",13.381 Billion USD,10.530 Billion USD,,China
NEWS CORPORATION,"1,489",13.374 Billion USD,13.188 Billion USD,,USA
SUMITOMO MITSUI TRUST HOLDINGS,"1,490",13.372 Billion USD,12.513 Billion USD,,Japan
MORNINGSTAR,"1,491",13.325 Billion USD,11.541 Billion USD,Kunal Kapoor,USA
POWER ASSETS HOLDINGS,"1,492",13.311 Billion USD,13.623 Billion USD,,Hong Kong
SODEXO,"1,493",13.308 Billion USD,12.232 Billion USD,,France
DLF,"1,494",13.293 Billion USD,11.536 Billion USD,,India
"ROBINHOOD MARKETS, INC.","1,495",13.279 Billion USD,37.037 Billion USD,Vlad Tenev,USA
ECOVACS ROBOTICS,"1,496",13.266 Billion USD,13.062 Billion USD,,China
FAIRFAX FINANCIAL HOLDINGS,"1,497",13.265 Billion USD,11.790 Billion USD,Prem Watsa,Canada
PULTEGROUP,"1,498",13.237 Billion USD,14.050 Billion USD,William J. Pulte,USA
CBOE GLOBAL MARKETS,"1,499",13.242 Billion USD,13.450 Billion USD,Edward T. Tilly,USA
ENTAIN PLC,"1,500",13.233 Billion USD,15.949 Billion USD,,UK
TENARIS,"1,501",13.234 Billion USD,11.891 Billion USD,Paolo Rocca,Luxembourg
A. O. SMITH CORPORATION,"1,502",13.234 Billion USD,11.538 Billion USD,Kevin J. Wheeler,USA
LUFAX,"1,503",13.223 Billion USD,21.348 Billion USD,,China
LINCOLN NATIONAL CORPORATION,"1,504",13.210 Billion USD,12.901 Billion USD,Jon A Boscia,USA
WESTLAKE CHEMICAL CORPORATION,"1,505",13.208 Billion USD,11.194 Billion USD,Albert Chao,USA
LIFCO AB (PUBL),"1,506",13.168 Billion USD,13.885 Billion USD,Carl Bennet,Sweden
TELADOC HEALTH,"1,507",13.156 Billion USD,22.999 Billion USD,Jason Gorevic,USA
BAJAJ AUTO,"1,508",13.145 Billion USD,15.218 Billion USD,,India
GLOBALWAFERS,"1,509",13.140 Billion USD,13.585 Billion USD,,Taiwan
WISE PLC,"1,510",13.132 Billion USD,13.781 Billion USD,,UK
ITISSALAT AL-MAGHRIB (IAM),"1,511",13.131 Billion USD,13.741 Billion USD,,Morocco
YARA INTERNATIONAL ASA,"1,512",13.126 Billion USD,12.245 Billion USD,,Norway
GODREJ CONSUMER PRODUCTS,"1,513",13.120 Billion USD,15.708 Billion USD,,India
WISETECH GLOBAL,"1,514",13.109 Billion USD,11.557 Billion USD,,Australia
SOLAREDGE TECHNOLOGIES,"1,515",13.104 Billion USD,15.132 Billion USD,,Israel
GRACO,"1,516",13.096 Billion USD,13.377 Billion USD,,USA
PACKAGING CORPORATION OF AMERICA,"1,517",13.094 Billion USD,14.540 Billion USD,,USA
SOUTH32,"1,518",13.088 Billion USD,11.036 Billion USD,,Australia
SHREE CEMENT,"1,519",13.078 Billion USD,14.266 Billion USD,,India
"ESSENTIAL UTILITIES, INC.","1,520",13.049 Billion USD,12.145 Billion USD,,USA
NAN YA PRINTED CIRCUIT BOARD CORPORATION,"1,521",13.052 Billion USD,9.910 Billion USD,,Taiwan
EXACT SCIENCES CORPORATION,"1,522",13.038 Billion USD,17.948 Billion USD,,USA
CHINA GALAXY SECURITIES,"1,523",13.026 Billion USD,12.543 Billion USD,,China
SERUM INSTITUTE OF INDIA,"1,523","1,523","1,523",,India
GO-JEK,"1,523","1,523","1,523",,Indonesia
BARRY CALLEBAUT AG,"1,524",13.023 Billion USD,13.964 Billion USD,,Switzerland
MAGIC LEAP,"1,524","1,524","1,524",,USA
KPN,"1,525",13.014 Billion USD,13.614 Billion USD,,Netherlands
COCA-COLA HBC AG,"1,526",12.999 Billion USD,13.345 Billion USD,,Switzerland
JONES LANG LASALLE,"1,527",13.002 Billion USD,12.327 Billion USD,,USA
HOST HOTELS & RESORTS,"1,528",13.003 Billion USD,11.809 Billion USD,,USA
QUANTA COMPUTER,"1,529",12.977 Billion USD,10.824 Billion USD,,Taiwan
COAL INDIA,"1,530",12.968 Billion USD,12.452 Billion USD,,India
REGENCY CENTERS CORPORATION,"1,531",12.968 Billion USD,11.694 Billion USD,,USA
"CNGR ADVANCED MATERIAL CO.,LTD.","1,532",12.955 Billion USD,12.475 Billion USD,,China
QBE INSURANCE GROUP,"1,533",12.923 Billion USD,13.154 Billion USD,,Australia
TRATON SE,"1,534",12.896 Billion USD,14.868 Billion USD,,Germany
CHINA RESOURCES GAS GROUP,"1,535",12.875 Billion USD,14.169 Billion USD,,Hong Kong
METRO INC,"1,536",12.876 Billion USD,12.393 Billion USD,,Canada
LEIDOS HOLDINGS,"1,537",12.842 Billion USD,13.889 Billion USD,,USA
"HASHICORP, INC.","1,538",12.839 Billion USD,,,USA
ARES MANAGEMENT CORPORATION,"1,539",12.833 Billion USD,12.616 Billion USD,,USA
SANTANDER CONSUMER USA HOLDINGS,"1,540",12.808 Billion USD,12.773 Billion USD,,USA
ELANCO ANIMAL HEALTH,"1,541",12.797 Billion USD,15.789 Billion USD,,USA
FSN E-COMMERCE VENTURES LIMITED (NYKAA),"1,541",12.800 Billion USD,,,India
TARGA RESOURCES,"1,542",12.802 Billion USD,10.043 Billion USD,,USA
SVENSKA CELLULOSA AKTIEBOLAGET SCA (PUBL),"1,543",12.777 Billion USD,13.030 Billion USD,,Sweden
TAIWAN COOPERATIVE FINANCIAL HOLDING,"1,544",12.777 Billion USD,10.657 Billion USD,,Taiwan
GODADDY,"1,545",12.768 Billion USD,12.405 Billion USD,,USA
RANDSTAD,"1,546",12.763 Billion USD,13.553 Billion USD,,Netherlands
ALMARAI COMPANY,"1,547",12.749 Billion USD,15.459 Billion USD,,Saudi Arabia
HITACHI HIGH-TECHNOLOGIES CORPORATION,"1,547","1,547","1,547",,Japan
SWEDISH MATCH AB (PUBL),"1,548",12.748 Billion USD,15.041 Billion USD,,Sweden
FASTIGHETS AB BALDER (PUBL),"1,549",12.743 Billion USD,13.697 Billion USD,,Sweden
COMERICA,"1,550",12.731 Billion USD,9.898 Billion USD,,USA
SIAM MAKRO PUBLIC COMPANY,"1,551",12.727 Billion USD,7.403 Billion USD,,Thailand
RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA,"1,552",12.714 Billion USD,13.598 Billion USD,,Italy
MASRAF AL RAYAN (Q.P.S.C.),"1,553",12.712 Billion USD,9.153 Billion USD,,Qatar
CHAOZHOU THREE-CIRCLE (GROUP),"1,554",12.703 Billion USD,10.032 Billion USD,,China
BUNZL,"1,555",12.678 Billion USD,12.321 Billion USD,,UK
CNA FINANCIAL CORPORATION,"1,556",12.683 Billion USD,12.035 Billion USD,,USA
REECE,"1,557",12.676 Billion USD,9.542 Billion USD,,Australia
CHINA RESOURCES MICROELECTRONICS LIMITED,"1,558",12.668 Billion USD,15.031 Billion USD,,Hong Kong
COGNEX CORPORATION,"1,559",12.638 Billion USD,15.660 Billion USD,,USA
FISHER & PAYKEL HEALTHCARE CORPORATION,"1,560",12.637 Billion USD,13.426 Billion USD,,New Zealand
COVESTRO AG,"1,561",12.615 Billion USD,12.568 Billion USD,,Germany
SCHRODERS,"1,562",12.609 Billion USD,13.839 Billion USD,,UK
ASX,"1,563",12.604 Billion USD,12.340 Billion USD,,Australia
AVEVA GROUP,"1,564",12.576 Billion USD,17.305 Billion USD,,UK
KESKO OYJ,"1,565",12.580 Billion USD,15.770 Billion USD,,Finland
INTERCONTINENTAL HOTELS GROUP,"1,566",12.579 Billion USD,11.706 Billion USD,,UK
JACK HENRY & ASSOCIATES,"1,567",12.568 Billion USD,13.055 Billion USD,,USA
SIAM COMMERCIAL BANK PUBLIC COMPANY,"1,568",12.569 Billion USD,11.064 Billion USD,,Thailand
ADMIRAL GROUP,"1,569",12.546 Billion USD,14.912 Billion USD,,UK
OPEN TEXT CORPORATION,"1,570",12.533 Billion USD,14.900 Billion USD,,Canada
TENAGA NASIONAL BERHAD,"1,571",12.533 Billion USD,14.341 Billion USD,,Malaysia
LIBERTY PROPERTY TRUST,"1,572","1,572","1,572",,USA
CHINA RESOURCES POWER HOLDINGS COMPANY,"1,572",12.519 Billion USD,11.569 Billion USD,,Hong Kong
CARLISLE COMPANIES,"1,573",12.489 Billion USD,10.985 Billion USD,,USA
AMERICAN AIRLINES GROUP,"1,574",12.484 Billion USD,12.910 Billion USD,,USA
MONDI,"1,575",12.465 Billion USD,13.448 Billion USD,,UK
VAIL RESORTS,"1,576",12.474 Billion USD,12.286 Billion USD,,USA
EMERA,"1,577",12.469 Billion USD,12.069 Billion USD,,Canada
SOLVAY SA,"1,578",12.455 Billion USD,13.827 Billion USD,,Belgium
UMICORE SA,"1,579",12.455 Billion USD,13.575 Billion USD,,Belgium
CAPITALAND COMMERCIAL TRUST,"1,579","1,579",10.930 Billion USD,,Singapore
EENOS HOLDINGS,"1,580",12.455 Billion USD,12.640 Billion USD,,Japan
INPEX CORPORATION,"1,581",12.463 Billion USD,10.183 Billion USD,,Japan
YASKAWA ELECTRIC CORPORATION,"1,582",12.446 Billion USD,13.159 Billion USD,,Japan
TALANX AG,"1,583",12.435 Billion USD,11.556 Billion USD,,Germany
SHANGHAI BAOSIGHT SOFTWARE,"1,584",12.417 Billion USD,13.121 Billion USD,,China
WESTERN ALLIANCE BANCORPORATION,"1,585",12.424 Billion USD,10.168 Billion USD,,USA
STEEL DYNAMICS,"1,586",12.365 Billion USD,14.337 Billion USD,,USA
NEC CORPORATION,"1,587",12.359 Billion USD,14.733 Billion USD,,Japan
WESTROCK COMPANY,"1,588",12.349 Billion USD,13.895 Billion USD,,USA
AGNICO EAGLE MINES,"1,589",12.333 Billion USD,14.029 Billion USD,,Canada
DENTSPLY SIRONA,"1,590",12.329 Billion USD,13.485 Billion USD,,USA
QATAR ISLAMIC BANK (Q.P.S.C.),"1,591",12.326 Billion USD,11.675 Billion USD,,Qatar
INTERTEK GROUP,"1,592",12.318 Billion USD,11.983 Billion USD,,UK
EAST WEST BANCORP,"1,593",12.319 Billion USD,10.405 Billion USD,,USA
BANK OF HANGZHOU,"1,594",12.313 Billion USD,12.907 Billion USD,,China
NEMETSCHEK SE,"1,595",12.312 Billion USD,11.360 Billion USD,,Germany
